"Technology","Age","Value","Year"
"HEV-G",10,0,2011
"HEV-D",10,0,2011
"CNG",10,0,2011
"PHEV",10,0,2011
"BEV",10,0,2011
"ICEV-G",11,558,2011
"ICEV-D",11,0,2011
"HEV-G",11,0,2011
"HEV-D",11,0,2011
"CNG",11,0,2011
"PHEV",11,0,2011
"BEV",11,0,2011
"ICEV-G",12,501,2011
"ICEV-D",12,0,2011
"HEV-G",12,0,2011
"HEV-D",12,0,2011
"CNG",12,0,2011
"PHEV",12,0,2011
"BEV",12,0,2011
"ICEV-G",13,575,2011
"ICEV-D",13,0,2011
"HEV-G",13,0,2011
"HEV-D",13,0,2011
"CNG",13,0,2011
"PHEV",13,0,2011
"BEV",13,0,2011
"ICEV-G",14,464,2011
"ICEV-D",14,0,2011
"HEV-G",14,0,2011
"HEV-D",14,0,2011
"CNG",14,0,2011
"PHEV",14,0,2011
"BEV",14,0,2011
"ICEV-G",15,1057,2011
"ICEV-D",15,0,2011
"HEV-G",15,0,2011
"HEV-D",15,0,2011
"CNG",15,0,2011
"PHEV",15,0,2011
"BEV",15,0,2011
"ICEV-G",0,26543,2012
"ICEV-D",0,335,2012
"HEV-G",0,904,2012
"HEV-D",0,0,2012
"CNG",0,0,2012
"PHEV",0,0,2012
"BEV",0,1,2012
"ICEV-G",1,20044,2012
"ICEV-D",1,208,2012
"HEV-G",1,485,2012
"HEV-D",1,0,2012
"CNG",1,0,2012
"PHEV",1,0,2012
"BEV",1,0,2012
"ICEV-G",2,37972,2012
"ICEV-D",2,95,2012
"HEV-G",2,687,2012
"HEV-D",2,0,2012
"CNG",2,34,2012
"PHEV",2,0,2012
"BEV",2,1,2012
"ICEV-G",3,67495,2012
"ICEV-D",3,26,2012
"HEV-G",3,668,2012
"HEV-D",3,0,2012
"CNG",3,223,2012
"PHEV",3,0,2012
"BEV",3,0,2012
"ICEV-G",4,98709,2012
"ICEV-D",4,13,2012
"HEV-G",4,961,2012
"HEV-D",4,0,2012
"CNG",4,1968,2012
"PHEV",4,0,2012
"BEV",4,0,2012
"ICEV-G",5,111104,2012
"ICEV-D",5,0,2012
"HEV-G",5,675,2012
"HEV-D",5,0,2012
"CNG",5,31,2012
"PHEV",5,0,2012
"BEV",5,0,2012
"ICEV-G",6,120967,2012
"ICEV-D",6,1,2012
"HEV-G",6,27,2012
"HEV-D",6,0,2012
"CNG",6,14,2012
"PHEV",6,0,2012
"BEV",6,0,2012
"ICEV-G",7,85865,2012
"ICEV-D",7,3,2012
"HEV-G",7,277,2012
"HEV-D",7,0,2012
"CNG",7,141,2012
"PHEV",7,0,2012
"BEV",7,1,2012
"ICEV-G",8,29983,2012
"ICEV-D",8,0,2012
"HEV-G",8,0,2012
"HEV-D",8,0,2012
"CNG",8,0,2012
"PHEV",8,0,2012
"BEV",8,0,2012
"ICEV-G",9,8089,2012
"ICEV-D",9,0,2012
"HEV-G",9,0,2012
"HEV-D",9,0,2012
"CNG",9,0,2012
"PHEV",9,0,2012
"BEV",9,0,2012
"ICEV-G",10,368,2012
"ICEV-D",10,0,2012
"HEV-G",10,0,2012
"HEV-D",10,0,2012
"CNG",10,0,2012
"PHEV",10,0,2012
"BEV",10,0,2012
"ICEV-G",11,585,2012
"ICEV-D",11,0,2012
"HEV-G",11,0,2012
"HEV-D",11,0,2012
"CNG",11,0,2012
"PHEV",11,0,2012
"BEV",11,0,2012
"ICEV-G",12,558,2012
"ICEV-D",12,0,2012
"HEV-G",12,0,2012
"HEV-D",12,0,2012
"CNG",12,0,2012
"PHEV",12,0,2012
"BEV",12,0,2012
"ICEV-G",13,500,2012
"ICEV-D",13,0,2012
"HEV-G",13,0,2012
"HEV-D",13,0,2012
"CNG",13,0,2012
"PHEV",13,0,2012
"BEV",13,0,2012
"ICEV-G",14,559,2012
"ICEV-D",14,0,2012
"HEV-G",14,0,2012
"HEV-D",14,0,2012
"CNG",14,0,2012
"PHEV",14,0,2012
"BEV",14,0,2012
"ICEV-G",15,451,2012
"ICEV-D",15,0,2012
"HEV-G",15,0,2012
"HEV-D",15,0,2012
"CNG",15,0,2012
"PHEV",15,0,2012
"BEV",15,0,2012
"ICEV-G",0,20577,2013
"ICEV-D",0,731,2013
"HEV-G",0,345,2013
"HEV-D",0,6,2013
"CNG",0,0,2013
"PHEV",0,0,2013
"BEV",0,0,2013
"ICEV-G",1,26543,2013
"ICEV-D",1,335,2013
"HEV-G",1,904,2013
"HEV-D",1,0,2013
"CNG",1,0,2013
"PHEV",1,0,2013
"BEV",1,0,2013
"ICEV-G",2,20035,2013
"ICEV-D",2,208,2013
"HEV-G",2,485,2013
"HEV-D",2,0,2013
"CNG",2,0,2013
"PHEV",2,0,2013
"BEV",2,0,2013
"ICEV-G",3,37955,2013
"ICEV-D",3,95,2013
"HEV-G",3,687,2013
"HEV-D",3,0,2013
"CNG",3,32,2013
"PHEV",3,0,2013
"BEV",3,0,2013
"ICEV-G",4,67471,2013
"ICEV-D",4,26,2013
"HEV-G",4,668,2013
"HEV-D",4,0,2013
"CNG",4,209,2013
"PHEV",4,0,2013
"BEV",4,0,2013
"ICEV-G",5,98627,2013
"ICEV-D",5,13,2013
"HEV-G",5,960,2013
"HEV-D",5,0,2013
"CNG",5,1841,2013
"PHEV",5,0,2013
"BEV",5,0,2013
"ICEV-G",6,110898,2013
"ICEV-D",6,0,2013
"HEV-G",6,674,2013
"HEV-D",6,0,2013
"CNG",6,29,2013
"PHEV",6,0,2013
"BEV",6,0,2013
"ICEV-G",7,120556,2013
"ICEV-D",7,1,2013
"HEV-G",7,27,2013
"HEV-D",7,0,2013
"CNG",7,13,2013
"PHEV",7,0,2013
"BEV",7,0,2013
"ICEV-G",8,83781,2013
"ICEV-D",8,3,2013
"HEV-G",8,270,2013
"HEV-D",8,0,2013
"CNG",8,129,2013
"PHEV",8,0,2013
"BEV",8,0,2013
"ICEV-G",9,23039,2013
"ICEV-D",9,0,2013
"HEV-G",9,0,2013
"HEV-D",9,0,2013
"CNG",9,0,2013
"PHEV",9,0,2013
"BEV",9,0,2013
"ICEV-G",10,628,2013
"ICEV-D",10,0,2013
"HEV-G",10,0,2013
"HEV-D",10,0,2013
"CNG",10,0,2013
"PHEV",10,0,2013
"BEV",10,0,2013
"ICEV-G",11,362,2013
"ICEV-D",11,0,2013
"HEV-G",11,0,2013
"HEV-D",11,0,2013
"CNG",11,0,2013
"PHEV",11,0,2013
"BEV",11,0,2013
"ICEV-G",12,582,2013
"ICEV-D",12,0,2013
"HEV-G",12,0,2013
"HEV-D",12,0,2013
"CNG",12,0,2013
"PHEV",12,0,2013
"BEV",12,0,2013
"ICEV-G",13,556,2013
"ICEV-D",13,0,2013
"HEV-G",13,0,2013
"HEV-D",13,0,2013
"CNG",13,0,2013
"PHEV",13,0,2013
"BEV",13,0,2013
"ICEV-G",14,493,2013
"ICEV-D",14,0,2013
"HEV-G",14,0,2013
"HEV-D",14,0,2013
"CNG",14,0,2013
"PHEV",14,0,2013
"BEV",14,0,2013
"ICEV-G",15,551,2013
"ICEV-D",15,0,2013
"HEV-G",15,0,2013
"HEV-D",15,0,2013
"CNG",15,0,2013
"PHEV",15,0,2013
"BEV",15,0,2013
