"Technology","Age","Value","Year","Mode"
"HEB-D",5,0,2011,"Public bus"
"CNGB",5,1,2011,"Public bus"
"EB",5,0,2011,"Public bus"
"ICEB-D",6,225,2011,"Public bus"
"HEB-D",6,0,2011,"Public bus"
"CNGB",6,0,2011,"Public bus"
"EB",6,0,2011,"Public bus"
"ICEB-D",7,196,2011,"Public bus"
"HEB-D",7,0,2011,"Public bus"
"CNGB",7,0,2011,"Public bus"
"EB",7,0,2011,"Public bus"
"ICEB-D",8,193,2011,"Public bus"
"HEB-D",8,0,2011,"Public bus"
"CNGB",8,0,2011,"Public bus"
"EB",8,0,2011,"Public bus"
"ICEB-D",9,155,2011,"Public bus"
"HEB-D",9,0,2011,"Public bus"
"CNGB",9,0,2011,"Public bus"
"EB",9,0,2011,"Public bus"
"ICEB-D",10,196,2011,"Public bus"
"HEB-D",10,0,2011,"Public bus"
"CNGB",10,0,2011,"Public bus"
"EB",10,0,2011,"Public bus"
"ICEB-D",11,308,2011,"Public bus"
"HEB-D",11,0,2011,"Public bus"
"CNGB",11,0,2011,"Public bus"
"EB",11,0,2011,"Public bus"
"ICEB-D",12,200,2011,"Public bus"
"HEB-D",12,0,2011,"Public bus"
"CNGB",12,0,2011,"Public bus"
"EB",12,0,2011,"Public bus"
"ICEB-D",13,196,2011,"Public bus"
"HEB-D",13,0,2011,"Public bus"
"CNGB",13,0,2011,"Public bus"
"EB",13,0,2011,"Public bus"
"ICEB-D",14,247,2011,"Public bus"
"HEB-D",14,0,2011,"Public bus"
"CNGB",14,0,2011,"Public bus"
"EB",14,0,2011,"Public bus"
"ICEB-D",15,169,2011,"Public bus"
"HEB-D",15,0,2011,"Public bus"
"CNGB",15,0,2011,"Public bus"
"EB",15,0,2011,"Public bus"
"ICEB-D",16,276,2011,"Public bus"
"HEB-D",16,0,2011,"Public bus"
"CNGB",16,0,2011,"Public bus"
"EB",16,0,2011,"Public bus"
"ICEB-D",17,206,2011,"Public bus"
"HEB-D",17,0,2011,"Public bus"
"CNGB",17,0,2011,"Public bus"
"EB",17,0,2011,"Public bus"
"ICEB-D",18,159,2011,"Public bus"
"HEB-D",18,0,2011,"Public bus"
"CNGB",18,0,2011,"Public bus"
"EB",18,0,2011,"Public bus"
"ICEB-D",19,31,2011,"Public bus"
"HEB-D",19,0,2011,"Public bus"
"CNGB",19,0,2011,"Public bus"
"EB",19,0,2011,"Public bus"
"ICEB-D",20,6,2011,"Public bus"
"HEB-D",20,0,2011,"Public bus"
"CNGB",20,0,2011,"Public bus"
"EB",20,0,2011,"Public bus"
"ICEB-D",0,393,2012,"Public bus"
"HEB-D",0,0,2012,"Public bus"
"CNGB",0,0,2012,"Public bus"
"EB",0,0,2012,"Public bus"
"ICEB-D",1,392,2012,"Public bus"
"HEB-D",1,0,2012,"Public bus"
"CNGB",1,0,2012,"Public bus"
"EB",1,0,2012,"Public bus"
"ICEB-D",2,179,2012,"Public bus"
"HEB-D",2,1,2012,"Public bus"
"CNGB",2,2,2012,"Public bus"
"EB",2,0,2012,"Public bus"
"ICEB-D",3,398,2012,"Public bus"
"HEB-D",3,0,2012,"Public bus"
"CNGB",3,3,2012,"Public bus"
"EB",3,0,2012,"Public bus"
"ICEB-D",4,315,2012,"Public bus"
"HEB-D",4,0,2012,"Public bus"
"CNGB",4,0,2012,"Public bus"
"EB",4,0,2012,"Public bus"
"ICEB-D",5,148,2012,"Public bus"
"HEB-D",5,0,2012,"Public bus"
"CNGB",5,0,2012,"Public bus"
"EB",5,0,2012,"Public bus"
"ICEB-D",6,303,2012,"Public bus"
"HEB-D",6,0,2012,"Public bus"
"CNGB",6,1,2012,"Public bus"
"EB",6,0,2012,"Public bus"
"ICEB-D",7,223,2012,"Public bus"
"HEB-D",7,0,2012,"Public bus"
"CNGB",7,0,2012,"Public bus"
"EB",7,0,2012,"Public bus"
"ICEB-D",8,193,2012,"Public bus"
"HEB-D",8,0,2012,"Public bus"
"CNGB",8,0,2012,"Public bus"
"EB",8,0,2012,"Public bus"
"ICEB-D",9,177,2012,"Public bus"
"HEB-D",9,0,2012,"Public bus"
"CNGB",9,0,2012,"Public bus"
"EB",9,0,2012,"Public bus"
"ICEB-D",10,123,2012,"Public bus"
"HEB-D",10,0,2012,"Public bus"
"CNGB",10,0,2012,"Public bus"
"EB",10,0,2012,"Public bus"
"ICEB-D",11,191,2012,"Public bus"
"HEB-D",11,0,2012,"Public bus"
"CNGB",11,0,2012,"Public bus"
"EB",11,0,2012,"Public bus"
"ICEB-D",12,305,2012,"Public bus"
"HEB-D",12,0,2012,"Public bus"
"CNGB",12,0,2012,"Public bus"
"EB",12,0,2012,"Public bus"
"ICEB-D",13,198,2012,"Public bus"
"HEB-D",13,0,2012,"Public bus"
"CNGB",13,0,2012,"Public bus"
"EB",13,0,2012,"Public bus"
"ICEB-D",14,190,2012,"Public bus"
"HEB-D",14,0,2012,"Public bus"
"CNGB",14,0,2012,"Public bus"
"EB",14,0,2012,"Public bus"
"ICEB-D",15,244,2012,"Public bus"
"HEB-D",15,0,2012,"Public bus"
"CNGB",15,0,2012,"Public bus"
"EB",15,0,2012,"Public bus"
"ICEB-D",16,165,2012,"Public bus"
"HEB-D",16,0,2012,"Public bus"
"CNGB",16,0,2012,"Public bus"
"EB",16,0,2012,"Public bus"
"ICEB-D",17,228,2012,"Public bus"
"HEB-D",17,0,2012,"Public bus"
"CNGB",17,0,2012,"Public bus"
"EB",17,0,2012,"Public bus"
"ICEB-D",18,170,2012,"Public bus"
"HEB-D",18,0,2012,"Public bus"
"CNGB",18,0,2012,"Public bus"
"EB",18,0,2012,"Public bus"
"ICEB-D",19,54,2012,"Public bus"
