"Technology","Age","Value","Year","Mode"
"EM",17,0,2012,"Motorcycle"
"ICEM-G",18,1481,2012,"Motorcycle"
"EM",18,0,2012,"Motorcycle"
"ICEM-G",19,1092,2012,"Motorcycle"
"EM",19,0,2012,"Motorcycle"
"ICEM-G",20,559,2012,"Motorcycle"
"EM",20,0,2012,"Motorcycle"
"ICEM-G",0,10977,2013,"Motorcycle"
"EM",0,0,2013,"Motorcycle"
"ICEM-G",1,7959,2013,"Motorcycle"
"EM",1,0,2013,"Motorcycle"
"ICEM-G",2,7377,2013,"Motorcycle"
"EM",2,1,2013,"Motorcycle"
"ICEM-G",3,8126,2013,"Motorcycle"
"EM",3,2,2013,"Motorcycle"
"ICEM-G",4,8346,2013,"Motorcycle"
"EM",4,3,2013,"Motorcycle"
"ICEM-G",5,9609,2013,"Motorcycle"
"EM",5,0,2013,"Motorcycle"
"ICEM-G",6,8751,2013,"Motorcycle"
"EM",6,0,2013,"Motorcycle"
"ICEM-G",7,22048,2013,"Motorcycle"
"EM",7,0,2013,"Motorcycle"
"ICEM-G",8,10300,2013,"Motorcycle"
"EM",8,0,2013,"Motorcycle"
"ICEM-G",9,9406,2013,"Motorcycle"
"EM",9,0,2013,"Motorcycle"
"ICEM-G",10,8666,2013,"Motorcycle"
"EM",10,0,2013,"Motorcycle"
"ICEM-G",11,9175,2013,"Motorcycle"
"EM",11,0,2013,"Motorcycle"
"ICEM-G",12,5999,2013,"Motorcycle"
"EM",12,0,2013,"Motorcycle"
"ICEM-G",13,4943,2013,"Motorcycle"
"EM",13,0,2013,"Motorcycle"
"ICEM-G",14,3670,2013,"Motorcycle"
"EM",14,0,2013,"Motorcycle"
"ICEM-G",15,2593,2013,"Motorcycle"
"EM",15,0,2013,"Motorcycle"
"ICEM-G",16,2065,2013,"Motorcycle"
"EM",16,0,2013,"Motorcycle"
"ICEM-G",17,1570,2013,"Motorcycle"
"EM",17,0,2013,"Motorcycle"
"ICEM-G",18,808,2013,"Motorcycle"
"EM",18,0,2013,"Motorcycle"
"ICEM-G",19,1101,2013,"Motorcycle"
"EM",19,0,2013,"Motorcycle"
"ICEM-G",20,812,2013,"Motorcycle"
"EM",20,0,2013,"Motorcycle"
"ICEM-G",0,8530,2014,"Motorcycle"
"EM",0,0,2014,"Motorcycle"
"ICEM-G",1,10977,2014,"Motorcycle"
"EM",1,0,2014,"Motorcycle"
"ICEM-G",2,7914,2014,"Motorcycle"
"EM",2,0,2014,"Motorcycle"
"ICEM-G",3,7306,2014,"Motorcycle"
"EM",3,1,2014,"Motorcycle"
"ICEM-G",4,8040,2014,"Motorcycle"
"EM",4,1,2014,"Motorcycle"
"ICEM-G",5,8238,2014,"Motorcycle"
"EM",5,2,2014,"Motorcycle"
"ICEM-G",6,9495,2014,"Motorcycle"
"EM",6,0,2014,"Motorcycle"
"ICEM-G",7,8623,2014,"Motorcycle"
"EM",7,0,2014,"Motorcycle"
"ICEM-G",8,21455,2014,"Motorcycle"
"EM",8,0,2014,"Motorcycle"
"ICEM-G",9,9483,2014,"Motorcycle"
"EM",9,0,2014,"Motorcycle"
"ICEM-G",10,6118,2014,"Motorcycle"
"EM",10,0,2014,"Motorcycle"
"ICEM-G",11,8467,2014,"Motorcycle"
"EM",11,0,2014,"Motorcycle"
"ICEM-G",12,8876,2014,"Motorcycle"
"EM",12,0,2014,"Motorcycle"
"ICEM-G",13,5693,2014,"Motorcycle"
"EM",13,0,2014,"Motorcycle"
"ICEM-G",14,4613,2014,"Motorcycle"
"EM",14,0,2014,"Motorcycle"
"ICEM-G",15,2948,2014,"Motorcycle"
"EM",15,0,2014,"Motorcycle"
"ICEM-G",16,2514,2014,"Motorcycle"
"EM",16,0,2014,"Motorcycle"
"ICEM-G",17,1966,2014,"Motorcycle"
"EM",17,0,2014,"Motorcycle"
"ICEM-G",18,1471,2014,"Motorcycle"
"EM",18,0,2014,"Motorcycle"
"ICEM-G",19,708,2014,"Motorcycle"
"EM",19,0,2014,"Motorcycle"
"ICEM-G",20,965,2014,"Motorcycle"
"EM",20,0,2014,"Motorcycle"
"ICEM-G",0,8422,2015,"Motorcycle"
