"Technology","Age","Value","Year"
"HEV-G",3,6,2008
"HEV-D",3,0,2008
"CNG",3,4,2008
"PHEV",3,0,2008
"BEV",3,0,2008
"ICEV-G",4,1180,2008
"ICEV-D",4,0,2008
"HEV-G",4,0,2008
"HEV-D",4,0,2008
"CNG",4,0,2008
"PHEV",4,0,2008
"BEV",4,0,2008
"ICEV-G",5,469,2008
"ICEV-D",5,0,2008
"HEV-G",5,0,2008
"HEV-D",5,0,2008
"CNG",5,0,2008
"PHEV",5,0,2008
"BEV",5,0,2008
"ICEV-G",6,168,2008
"ICEV-D",6,0,2008
"HEV-G",6,0,2008
"HEV-D",6,0,2008
"CNG",6,0,2008
"PHEV",6,0,2008
"BEV",6,0,2008
"ICEV-G",7,150,2008
"ICEV-D",7,0,2008
"HEV-G",7,0,2008
"HEV-D",7,0,2008
"CNG",7,0,2008
"PHEV",7,0,2008
"BEV",7,0,2008
"ICEV-G",8,48,2008
"ICEV-D",8,0,2008
"HEV-G",8,0,2008
"HEV-D",8,0,2008
"CNG",8,0,2008
"PHEV",8,0,2008
"BEV",8,0,2008
"ICEV-G",9,22,2008
"ICEV-D",9,0,2008
"HEV-G",9,0,2008
"HEV-D",9,0,2008
"CNG",9,0,2008
"PHEV",9,0,2008
"BEV",9,0,2008
"ICEV-G",10,12,2008
"ICEV-D",10,0,2008
"HEV-G",10,0,2008
"HEV-D",10,0,2008
"CNG",10,0,2008
"PHEV",10,0,2008
"BEV",10,0,2008
"ICEV-G",11,10,2008
"ICEV-D",11,0,2008
"HEV-G",11,0,2008
"HEV-D",11,0,2008
"CNG",11,0,2008
"PHEV",11,0,2008
"BEV",11,0,2008
"ICEV-G",12,22,2008
"ICEV-D",12,0,2008
"HEV-G",12,0,2008
"HEV-D",12,0,2008
"CNG",12,0,2008
"PHEV",12,0,2008
"BEV",12,0,2008
"ICEV-G",13,13,2008
"ICEV-D",13,0,2008
"HEV-G",13,0,2008
"HEV-D",13,0,2008
"CNG",13,0,2008
"PHEV",13,0,2008
"BEV",13,0,2008
"ICEV-G",14,12,2008
"ICEV-D",14,0,2008
"HEV-G",14,0,2008
"HEV-D",14,0,2008
"CNG",14,0,2008
"PHEV",14,0,2008
"BEV",14,0,2008
"ICEV-G",15,52,2008
"ICEV-D",15,0,2008
"HEV-G",15,0,2008
"HEV-D",15,0,2008
"CNG",15,0,2008
"PHEV",15,0,2008
"BEV",15,0,2008
"ICEV-G",16,153,2008
"ICEV-D",16,0,2008
"HEV-G",16,0,2008
"HEV-D",16,0,2008
"CNG",16,0,2008
"PHEV",16,0,2008
"BEV",16,0,2008
"ICEV-G",17,104,2008
"ICEV-D",17,0,2008
"HEV-G",17,0,2008
"HEV-D",17,0,2008
"CNG",17,0,2008
"PHEV",17,0,2008
"BEV",17,0,2008
"ICEV-G",18,15,2008
"ICEV-D",18,0,2008
"HEV-G",18,0,2008
"HEV-D",18,0,2008
"CNG",18,0,2008
"PHEV",18,0,2008
"BEV",18,0,2008
"ICEV-G",19,17,2008
"ICEV-D",19,0,2008
"HEV-G",19,0,2008
"HEV-D",19,0,2008
"CNG",19,0,2008
"PHEV",19,0,2008
"BEV",19,0,2008
"ICEV-G",20,6,2008
"ICEV-D",20,0,2008
"HEV-G",20,0,2008
"HEV-D",20,0,2008
"CNG",20,0,2008
"PHEV",20,0,2008
"BEV",20,0,2008
"ICEV-G",0,1176,2009
"ICEV-D",0,1,2009
"HEV-G",0,14,2009
"HEV-D",0,0,2009
"CNG",0,4,2009
"PHEV",0,0,2009
"BEV",0,0,2009
"ICEV-G",1,2459,2009
"ICEV-D",1,0,2009
"HEV-G",1,22,2009
"HEV-D",1,0,2009
"CNG",1,50,2009
"PHEV",1,0,2009
"BEV",1,0,2009
"ICEV-G",2,3050,2009
"ICEV-D",2,0,2009
"HEV-G",2,16,2009
"HEV-D",2,0,2009
"CNG",2,1,2009
"PHEV",2,0,2009
"BEV",2,0,2009
"ICEV-G",3,2313,2009
"ICEV-D",3,0,2009
"HEV-G",3,1,2009
"HEV-D",3,0,2009
"CNG",3,0,2009
"PHEV",3,0,2009
"BEV",3,0,2009
"ICEV-G",4,1828,2009
"ICEV-D",4,0,2009
"HEV-G",4,5,2009
"HEV-D",4,0,2009
"CNG",4,4,2009
"PHEV",4,0,2009
"BEV",4,0,2009
"ICEV-G",5,859,2009
"ICEV-D",5,0,2009
"HEV-G",5,0,2009
"HEV-D",5,0,2009
"CNG",5,0,2009
"PHEV",5,0,2009
"BEV",5,0,2009
"ICEV-G",6,342,2009
"ICEV-D",6,0,2009
"HEV-G",6,0,2009
"HEV-D",6,0,2009
"CNG",6,0,2009
"PHEV",6,0,2009
"BEV",6,0,2009
"ICEV-G",7,116,2009
"ICEV-D",7,0,2009
"HEV-G",7,0,2009
"HEV-D",7,0,2009
"CNG",7,0,2009
"PHEV",7,0,2009
"BEV",7,0,2009
"ICEV-G",8,107,2009
"ICEV-D",8,0,2009
"HEV-G",8,0,2009
"HEV-D",8,0,2009
"CNG",8,0,2009
"PHEV",8,0,2009
"BEV",8,0,2009
"ICEV-G",9,31,2009
"ICEV-D",9,0,2009
"HEV-G",9,0,2009
"HEV-D",9,0,2009
"CNG",9,0,2009
"PHEV",9,0,2009
"BEV",9,0,2009
"ICEV-G",10,10,2009
"ICEV-D",10,0,2009
"HEV-G",10,0,2009
"HEV-D",10,0,2009
"CNG",10,0,2009
"PHEV",10,0,2009
"BEV",10,0,2009
"ICEV-G",11,12,2009
"ICEV-D",11,0,2009
"HEV-G",11,0,2009
"HEV-D",11,0,2009
"CNG",11,0,2009
"PHEV",11,0,2009
"BEV",11,0,2009
"ICEV-G",12,10,2009
"ICEV-D",12,0,2009
"HEV-G",12,0,2009
"HEV-D",12,0,2009
"CNG",12,0,2009
"PHEV",12,0,2009
"BEV",12,0,2009
"ICEV-G",13,22,2009
"ICEV-D",13,0,2009
"HEV-G",13,0,2009
"HEV-D",13,0,2009
"CNG",13,0,2009
"PHEV",13,0,2009
"BEV",13,0,2009
"ICEV-G",14,12,2009
"ICEV-D",14,0,2009
"HEV-G",14,0,2009
"HEV-D",14,0,2009
"CNG",14,0,2009
"PHEV",14,0,2009
"BEV",14,0,2009
"ICEV-G",15,10,2009
"ICEV-D",15,0,2009
"HEV-G",15,0,2009
"HEV-D",15,0,2009
"CNG",15,0,2009
"PHEV",15,0,2009
"BEV",15,0,2009
"ICEV-G",16,46,2009
"ICEV-D",16,0,2009
"HEV-G",16,0,2009
"HEV-D",16,0,2009
"CNG",16,0,2009
"PHEV",16,0,2009
"BEV",16,0,2009
"ICEV-G",17,130,2009
"ICEV-D",17,0,2009
"HEV-G",17,0,2009
"HEV-D",17,0,2009
"CNG",17,0,2009
"PHEV",17,0,2009
"BEV",17,0,2009
"ICEV-G",18,83,2009
"ICEV-D",18,0,2009
"HEV-G",18,0,2009
"HEV-D",18,0,2009
"CNG",18,0,2009
