"Technology","Age","Value","Year","Mode"
"ICEB-G",12,7,2009,"School bus"
"ICEB-D",12,253,2009,"School bus"
"HEB-G",12,0,2009,"School bus"
"HEB-D",12,0,2009,"School bus"
"CNGB",12,0,2009,"School bus"
"EB",12,0,2009,"School bus"
"ICEB-G",13,5,2009,"School bus"
"ICEB-D",13,179,2009,"School bus"
"HEB-G",13,0,2009,"School bus"
"HEB-D",13,0,2009,"School bus"
"CNGB",13,0,2009,"School bus"
"EB",13,0,2009,"School bus"
"ICEB-G",14,8,2009,"School bus"
"ICEB-D",14,284,2009,"School bus"
"HEB-G",14,0,2009,"School bus"
"HEB-D",14,0,2009,"School bus"
"CNGB",14,0,2009,"School bus"
"EB",14,0,2009,"School bus"
"ICEB-G",15,7,2009,"School bus"
"ICEB-D",15,235,2009,"School bus"
"HEB-G",15,0,2009,"School bus"
"HEB-D",15,0,2009,"School bus"
"CNGB",15,0,2009,"School bus"
"EB",15,0,2009,"School bus"
"ICEB-G",16,6,2009,"School bus"
"ICEB-D",16,199,2009,"School bus"
"HEB-G",16,0,2009,"School bus"
"HEB-D",16,0,2009,"School bus"
"CNGB",16,0,2009,"School bus"
"EB",16,0,2009,"School bus"
"ICEB-G",17,4,2009,"School bus"
"ICEB-D",17,150,2009,"School bus"
"HEB-G",17,0,2009,"School bus"
"HEB-D",17,0,2009,"School bus"
"CNGB",17,0,2009,"School bus"
"EB",17,0,2009,"School bus"
"ICEB-G",18,3,2009,"School bus"
"ICEB-D",18,108,2009,"School bus"
"HEB-G",18,0,2009,"School bus"
"HEB-D",18,0,2009,"School bus"
"CNGB",18,0,2009,"School bus"
"EB",18,0,2009,"School bus"
"ICEB-G",19,2,2009,"School bus"
"ICEB-D",19,43,2009,"School bus"
"HEB-G",19,0,2009,"School bus"
"HEB-D",19,0,2009,"School bus"
"CNGB",19,0,2009,"School bus"
"EB",19,0,2009,"School bus"
"ICEB-G",20,0,2009,"School bus"
"ICEB-D",20,9,2009,"School bus"
"HEB-G",20,0,2009,"School bus"
"HEB-D",20,0,2009,"School bus"
"CNGB",20,0,2009,"School bus"
"EB",20,0,2009,"School bus"
"ICEB-G",0,0,2010,"School bus"
"ICEB-D",0,617,2010,"School bus"
"HEB-G",0,0,2010,"School bus"
"HEB-D",0,1,2010,"School bus"
"CNGB",0,5,2010,"School bus"
"EB",0,0,2010,"School bus"
"ICEB-G",1,0,2010,"School bus"
"ICEB-D",1,601,2010,"School bus"
"HEB-G",1,0,2010,"School bus"
"HEB-D",1,0,2010,"School bus"
"CNGB",1,6,2010,"School bus"
"EB",1,0,2010,"School bus"
"ICEB-G",2,0,2010,"School bus"
"ICEB-D",2,610,2010,"School bus"
"HEB-G",2,0,2010,"School bus"
"HEB-D",2,0,2010,"School bus"
"CNGB",2,0,2010,"School bus"
"EB",2,0,2010,"School bus"
"ICEB-G",3,0,2010,"School bus"
"ICEB-D",3,302,2010,"School bus"
"HEB-G",3,0,2010,"School bus"
"HEB-D",3,0,2010,"School bus"
"CNGB",3,0,2010,"School bus"
"EB",3,0,2010,"School bus"
"ICEB-G",4,8,2010,"School bus"
"ICEB-D",4,397,2010,"School bus"
"HEB-G",4,0,2010,"School bus"
"HEB-D",4,0,2010,"School bus"
"CNGB",4,4,2010,"School bus"
"EB",4,0,2010,"School bus"
"ICEB-G",5,0,2010,"School bus"
"ICEB-D",5,231,2010,"School bus"
"HEB-G",5,0,2010,"School bus"
"HEB-D",5,0,2010,"School bus"
"CNGB",5,0,2010,"School bus"
"EB",5,0,2010,"School bus"
"ICEB-G",6,5,2010,"School bus"
"ICEB-D",6,197,2010,"School bus"
"HEB-G",6,0,2010,"School bus"
"HEB-D",6,0,2010,"School bus"
"CNGB",6,0,2010,"School bus"
"EB",6,0,2010,"School bus"
"ICEB-G",7,5,2010,"School bus"
"ICEB-D",7,195,2010,"School bus"
"HEB-G",7,0,2010,"School bus"
"HEB-D",7,0,2010,"School bus"
