"Technology","Age","Value","Year","Mode"
"CNGB",20,0,2007,"Private bus"
"EB",20,0,2007,"Private bus"
"ICEB-G",0,0,2008,"Private bus"
"ICEB-D",0,630,2008,"Private bus"
"HEB-G",0,0,2008,"Private bus"
"HEB-D",0,0,2008,"Private bus"
"CNGB",0,0,2008,"Private bus"
"EB",0,0,2008,"Private bus"
"ICEB-G",1,0,2008,"Private bus"
"ICEB-D",1,413,2008,"Private bus"
"HEB-G",1,0,2008,"Private bus"
"HEB-D",1,0,2008,"Private bus"
"CNGB",1,0,2008,"Private bus"
"EB",1,0,2008,"Private bus"
"ICEB-G",2,3,2008,"Private bus"
"ICEB-D",2,277,2008,"Private bus"
"HEB-G",2,0,2008,"Private bus"
"HEB-D",2,0,2008,"Private bus"
"CNGB",2,0,2008,"Private bus"
"EB",2,0,2008,"Private bus"
"ICEB-G",3,137,2008,"Private bus"
"ICEB-D",3,147,2008,"Private bus"
"HEB-G",3,0,2008,"Private bus"
"HEB-D",3,0,2008,"Private bus"
"CNGB",3,5,2008,"Private bus"
"EB",3,0,2008,"Private bus"
"ICEB-G",4,0,2008,"Private bus"
"ICEB-D",4,292,2008,"Private bus"
"HEB-G",4,0,2008,"Private bus"
"HEB-D",4,0,2008,"Private bus"
"CNGB",4,0,2008,"Private bus"
"EB",4,0,2008,"Private bus"
"ICEB-G",5,0,2008,"Private bus"
"ICEB-D",5,296,2008,"Private bus"
"HEB-G",5,0,2008,"Private bus"
"HEB-D",5,0,2008,"Private bus"
"CNGB",5,0,2008,"Private bus"
"EB",5,0,2008,"Private bus"
"ICEB-G",6,0,2008,"Private bus"
"ICEB-D",6,255,2008,"Private bus"
"HEB-G",6,0,2008,"Private bus"
"HEB-D",6,0,2008,"Private bus"
"CNGB",6,0,2008,"Private bus"
"EB",6,0,2008,"Private bus"
"ICEB-G",7,0,2008,"Private bus"
"ICEB-D",7,335,2008,"Private bus"
"HEB-G",7,0,2008,"Private bus"
"HEB-D",7,0,2008,"Private bus"
"CNGB",7,0,2008,"Private bus"
"EB",7,0,2008,"Private bus"
"ICEB-G",8,0,2008,"Private bus"
"ICEB-D",8,511,2008,"Private bus"
"HEB-G",8,0,2008,"Private bus"
"HEB-D",8,0,2008,"Private bus"
"CNGB",8,0,2008,"Private bus"
"EB",8,0,2008,"Private bus"
"ICEB-G",9,0,2008,"Private bus"
"ICEB-D",9,319,2008,"Private bus"
"HEB-G",9,0,2008,"Private bus"
"HEB-D",9,0,2008,"Private bus"
"CNGB",9,0,2008,"Private bus"
"EB",9,0,2008,"Private bus"
"ICEB-G",10,0,2008,"Private bus"
"ICEB-D",10,296,2008,"Private bus"
"HEB-G",10,0,2008,"Private bus"
"HEB-D",10,0,2008,"Private bus"
"CNGB",10,0,2008,"Private bus"
"EB",10,0,2008,"Private bus"
"ICEB-G",11,0,2008,"Private bus"
"ICEB-D",11,373,2008,"Private bus"
"HEB-G",11,0,2008,"Private bus"
"HEB-D",11,0,2008,"Private bus"
"CNGB",11,0,2008,"Private bus"
"EB",11,0,2008,"Private bus"
"ICEB-G",12,0,2008,"Private bus"
"ICEB-D",12,268,2008,"Private bus"
"HEB-G",12,0,2008,"Private bus"
"HEB-D",12,0,2008,"Private bus"
"CNGB",12,0,2008,"Private bus"
"EB",12,0,2008,"Private bus"
"ICEB-G",13,0,2008,"Private bus"
"ICEB-D",13,424,2008,"Private bus"
"HEB-G",13,0,2008,"Private bus"
"HEB-D",13,0,2008,"Private bus"
"CNGB",13,0,2008,"Private bus"
"EB",13,0,2008,"Private bus"
"ICEB-G",14,0,2008,"Private bus"
"ICEB-D",14,357,2008,"Private bus"
"HEB-G",14,0,2008,"Private bus"
"HEB-D",14,0,2008,"Private bus"
"CNGB",14,0,2008,"Private bus"
"EB",14,0,2008,"Private bus"
"ICEB-G",15,0,2008,"Private bus"
"ICEB-D",15,307,2008,"Private bus"
"HEB-G",15,0,2008,"Private bus"
"HEB-D",15,0,2008,"Private bus"
"CNGB",15,0,2008,"Private bus"
"EB",15,0,2008,"Private bus"
"ICEB-G",16,0,2008,"Private bus"
"ICEB-D",16,251,2008,"Private bus"
"HEB-G",16,0,2008,"Private bus"
"HEB-D",16,0,2008,"Private bus"
"CNGB",16,0,2008,"Private bus"
"EB",16,0,2008,"Private bus"
"ICEB-G",17,0,2008,"Private bus"
"ICEB-D",17,189,2008,"Private bus"
"HEB-G",17,0,2008,"Private bus"
"HEB-D",17,0,2008,"Private bus"
"CNGB",17,0,2008,"Private bus"
"EB",17,0,2008,"Private bus"
"ICEB-G",18,0,2008,"Private bus"
"ICEB-D",18,161,2008,"Private bus"
"HEB-G",18,0,2008,"Private bus"
"HEB-D",18,0,2008,"Private bus"
"CNGB",18,0,2008,"Private bus"
"EB",18,0,2008,"Private bus"
"ICEB-G",19,0,2008,"Private bus"
"ICEB-D",19,34,2008,"Private bus"
"HEB-G",19,0,2008,"Private bus"
"HEB-D",19,0,2008,"Private bus"
"CNGB",19,0,2008,"Private bus"
"EB",19,0,2008,"Private bus"
"ICEB-G",20,0,2008,"Private bus"
"ICEB-D",20,7,2008,"Private bus"
"HEB-G",20,0,2008,"Private bus"
"HEB-D",20,0,2008,"Private bus"
"CNGB",20,0,2008,"Private bus"
"EB",20,0,2008,"Private bus"
"ICEB-G",0,0,2009,"Private bus"
"ICEB-D",0,399,2009,"Private bus"
"HEB-G",0,0,2009,"Private bus"
"HEB-D",0,0,2009,"Private bus"
"CNGB",0,7,2009,"Private bus"
"EB",0,0,2009,"Private bus"
"ICEB-G",1,0,2009,"Private bus"
"ICEB-D",1,630,2009,"Private bus"
"HEB-G",1,0,2009,"Private bus"
"HEB-D",1,0,2009,"Private bus"
"CNGB",1,0,2009,"Private bus"
"EB",1,0,2009,"Private bus"
"ICEB-G",2,0,2009,"Private bus"
"ICEB-D",2,413,2009,"Private bus"
"HEB-G",2,0,2009,"Private bus"
"HEB-D",2,0,2009,"Private bus"
"CNGB",2,0,2009,"Private bus"
"EB",2,0,2009,"Private bus"
"ICEB-G",3,2,2009,"Private bus"
"ICEB-D",3,276,2009,"Private bus"
"HEB-G",3,0,2009,"Private bus"
"HEB-D",3,0,2009,"Private bus"
"CNGB",3,0,2009,"Private bus"
"EB",3,0,2009,"Private bus"
"ICEB-G",4,114,2009,"Private bus"
"ICEB-D",4,147,2009,"Private bus"
"HEB-G",4,0,2009,"Private bus"
"HEB-D",4,0,2009,"Private bus"
"CNGB",4,5,2009,"Private bus"
"EB",4,0,2009,"Private bus"
"ICEB-G",5,0,2009,"Private bus"
"ICEB-D",5,290,2009,"Private bus"
"HEB-G",5,0,2009,"Private bus"
"HEB-D",5,0,2009,"Private bus"
"CNGB",5,0,2009,"Private bus"
"EB",5,0,2009,"Private bus"
"ICEB-G",6,0,2009,"Private bus"
"ICEB-D",6,293,2009,"Private bus"
"HEB-G",6,0,2009,"Private bus"
"HEB-D",6,0,2009,"Private bus"
"CNGB",6,0,2009,"Private bus"
"EB",6,0,2009,"Private bus"
"ICEB-G",7,0,2009,"Private bus"
"ICEB-D",7,245,2009,"Private bus"
"HEB-G",7,0,2009,"Private bus"
"HEB-D",7,0,2009,"Private bus"
"CNGB",7,0,2009,"Private bus"
"EB",7,0,2009,"Private bus"
"ICEB-G",8,0,2009,"Private bus"
"ICEB-D",8,325,2009,"Private bus"
"HEB-G",8,0,2009,"Private bus"
"HEB-D",8,0,2009,"Private bus"
"CNGB",8,0,2009,"Private bus"
"EB",8,0,2009,"Private bus"
"ICEB-G",9,0,2009,"Private bus"
"ICEB-D",9,497,2009,"Private bus"
"HEB-G",9,0,2009,"Private bus"
"HEB-D",9,0,2009,"Private bus"
"CNGB",9,0,2009,"Private bus"
"EB",9,0,2009,"Private bus"
"ICEB-G",10,0,2009,"Private bus"
"ICEB-D",10,301,2009,"Private bus"
"HEB-G",10,0,2009,"Private bus"
"HEB-D",10,0,2009,"Private bus"
"CNGB",10,0,2009,"Private bus"
"EB",10,0,2009,"Private bus"
"ICEB-G",11,0,2009,"Private bus"
"ICEB-D",11,293,2009,"Private bus"
"HEB-G",11,0,2009,"Private bus"
"HEB-D",11,0,2009,"Private bus"
"CNGB",11,0,2009,"Private bus"
"EB",11,0,2009,"Private bus"
"ICEB-G",12,0,2009,"Private bus"
"ICEB-D",12,371,2009,"Private bus"
"HEB-G",12,0,2009,"Private bus"
"HEB-D",12,0,2009,"Private bus"
"CNGB",12,0,2009,"Private bus"
"EB",12,0,2009,"Private bus"
"ICEB-G",13,0,2009,"Private bus"
"ICEB-D",13,264,2009,"Private bus"
"HEB-G",13,0,2009,"Private bus"
"HEB-D",13,0,2009,"Private bus"
"CNGB",13,0,2009,"Private bus"
"EB",13,0,2009,"Private bus"
"ICEB-G",14,0,2009,"Private bus"
"ICEB-D",14,418,2009,"Private bus"
"HEB-G",14,0,2009,"Private bus"
"HEB-D",14,0,2009,"Private bus"
"CNGB",14,0,2009,"Private bus"
"EB",14,0,2009,"Private bus"
"ICEB-G",15,0,2009,"Private bus"
"ICEB-D",15,346,2009,"Private bus"
"HEB-G",15,0,2009,"Private bus"
"HEB-D",15,0,2009,"Private bus"
"CNGB",15,0,2009,"Private bus"
"EB",15,0,2009,"Private bus"
"ICEB-G",16,0,2009,"Private bus"
"ICEB-D",16,292,2009,"Private bus"
"HEB-G",16,0,2009,"Private bus"
"HEB-D",16,0,2009,"Private bus"
"CNGB",16,0,2009,"Private bus"
"EB",16,0,2009,"Private bus"
"ICEB-G",17,0,2009,"Private bus"
"ICEB-D",17,219,2009,"Private bus"
"HEB-G",17,0,2009,"Private bus"
"HEB-D",17,0,2009,"Private bus"
"CNGB",17,0,2009,"Private bus"
"EB",17,0,2009,"Private bus"
"ICEB-G",18,0,2009,"Private bus"
"ICEB-D",18,159,2009,"Private bus"
"HEB-G",18,0,2009,"Private bus"
"HEB-D",18,0,2009,"Private bus"
"CNGB",18,0,2009,"Private bus"
"EB",18,0,2009,"Private bus"
"ICEB-G",19,0,2009,"Private bus"
"ICEB-D",19,62,2009,"Private bus"
"HEB-G",19,0,2009,"Private bus"
"HEB-D",19,0,2009,"Private bus"
"CNGB",19,0,2009,"Private bus"
