"Make","Model","Body","Enginee_cc","MPO_kw","Fuel","Transmission","Turbo_supercharged","Hybrid","fe_urban","fe_xtra_urban","fe_combined","co2_urban","co2_xtra_urban","co2_combined","ves_band"
"AUDI","A8L 4.0 TFSI QU TIP","Sedan",3996,338,"Petrol-Electric","Automatic","YES","YES","13.8","7.9",10.1,"313","179",228,"C2"
"AUDI","E-TRON QUATTRO","Sports Utility Vehicle",0,313,"Electric","Automatic","NO","NO","0","0",251,"0","0",100.4,"A2"
"AUDI","Q2 SPORT 1.0 TFSI S","Sports Utility Vehicle",999,85,"Petrol","Sequential","YES","NO","6.1","4.8",5.2,"138","109",119,"C1"
"AUDI","Q2 SPORT 1.0 TFSI S","Sports Utility Vehicle",999,85,"Petrol","Sequential","YES","NO","6.1","4.8",5.2,"138","109",119,"C1"
"AUDI","Q2 SPORT 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.6","5",5.6,"150","114",128,"B"
"AUDI","Q2 SPORT 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.4","4.7",5.3,"146","107",122,"B"
"AUDI","Q2 SPORT 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.6","5",5.6,"150","114",128,"B"
"AUDI","Q2 SPORT 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.4","4.7",5.3,"146","107",122,"B"
"AUDI","Q2 SPORT 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.6","5",5.6,"150","114",128,"B"
"AUDI","Q2 SPORT 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.4","4.7",5.3,"146","107",122,"B"
"AUDI","Q2 SPORT 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.4","4.7",5.3,"146","107",122,"B"
"AUDI","Q2 1.0 TFSI S TRONIC","Sports Utility Vehicle",999,85,"Petrol","Sequential","YES","NO","6.1","4.8",5.2,"138","109",119,"C1"
"AUDI","Q2 1.0 TFSI S TRONIC","Sports Utility Vehicle",999,85,"Petrol","Sequential","YES","NO","6.1","4.8",5.2,"138","109",119,"C1"
"AUDI","Q2 1.0 TFSI S TRONIC","Sports Utility Vehicle",999,85,"Petrol","Sequential","YES","NO","6.1","4.8",5.2,"138","109",119,"C1"
"AUDI","Q2 1.4 TFSI COD S","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.4","4.7",5.3,"146","107",122,"B"
"AUDI","Q2 1.4 TFSI COD S","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.4","4.7",5.3,"146","107",122,"B"
"AUDI","Q2 1.4 TFSI COD S","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","6.6","5",5.6,"150","114",128,"B"
"AUDI","Q3 ADVANCED 1.4 TFSI","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","9.4","6",7.2,"213","135",164,"C1"
"AUDI","Q3 S LINE 1.4 TFSI S","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","9.4","6",7.2,"213","135",164,"C1"
"AUDI","Q3 1.4 TFSI S TRONIC","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","9.4","6",7.2,"213","135",164,"C1"
"AUDI","Q3 1.4 TFSI S TRONIC","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","7.3","5.2",6,"169","122",139,"C1"
"AUDI","Q3 1.4 TFSI S TRONIC","Sports Utility Vehicle",1395,110,"Petrol","Sequential","YES","NO","9.4","6",7.2,"213","135",164,"C1"
"AUDI","Q3 2.0 TFSI QU (PI)","Sports Utility Vehicle",1984,132,"Petrol","Sequential","YES","NO","8","6",6.7,"186","139",155,"C1"
"AUDI","Q3 2.0 TFSI QU NAV","Sports Utility Vehicle",1984,132,"Petrol","Sequential","YES","NO","8","6",6.7,"186","139",155,"C1"
"AUDI","Q5 SPORT 2.0 TFSI QU","Sports Utility Vehicle",1984,185,"Petrol","Sequential","YES","NO","8.9","6.6",7.4,"203","150",170,"C1"
"AUDI","Q5 SPORT 2.0 TFSI QU","Sports Utility Vehicle",1984,185,"Petrol","Sequential","YES","NO","8.9","6.6",7.4,"203","150",170,"C1"
"AUDI","Q5 SPORT 2.0 TFSI QU","Sports Utility Vehicle",1984,185,"Petrol","Sequential","YES","NO","8.9","6.6",7.4,"203","150",170,"C1"
"AUDI","Q7 2.0 TFSI QU (252","Sports Utility Vehicle",1984,185,"Petrol","Automatic","YES","NO","8.9","6.6",7.4,"202","150",172,"C1"
"AUDI","Q7 2.0 TFSI QU (252","Sports Utility Vehicle",1984,185,"Petrol","Automatic","YES","NO","8.9","6.6",7.4,"202","150",172,"C1"
