Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Singapore,SGP,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,4.064166666,4.748333333,6.200833333,9.368333333,10.71,7.214999999,6.314166667,6.975,4.993333333,3.910833333,2.885833333,2.7375,3.2125,4.671666667,4.63,2.869166667,2.300833333,3.001666667,3.504166667,3.41,3.471666667,4.604166667,1.683333333,1.711666667,1.52,0.869166667,0.5025,0.403333333,0.440833333,0.57,0.529166667,0.419166667,0.2925,0.205833333,0.168333333,0.135833333,0.14,0.144166667,0.166666667,0.19,0.141666667,0.156666667,
Singapore,SGP,Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,,,68.58548533,67.5615788,72.1122745,75.33839271,76.54107658,87.55213495,104.6985063,108.745375,104.1784268,100.3834716,99.74962469,97.52303429,82.79015694,89.03923729,87.39773634,89.63245298,91.18255644,87.44407163,83.61440426,79.97394069,79.64036451,79.6555616,79.74674416,78.82732005,76.43377794,78.03866811,85.91464892,84.55013878,83.31288865,84.98293868,89.32215163,97.94223517,102.8368186,103.1282139,110.9016112,95.48337333,100,108.416181,108.930408,106.0165195,102.4944364,86.781225,80.7718975,86.45443378,104.8455177,
Singapore,SGP,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,,0.4,0.41958042,2.205199629,1.726095844,0.178611297,2.005794517,3.342800961,0.655391121,-0.27305188,0.463352991,1.761006289,2.080758138,19.63673058,22.36842105,2.536531569,-1.841892982,3.163950144,4.872543813,4.076465375,8.526943194,8.182021968,3.91628678,1.196410768,2.600985222,0.480122911,-1.385703364,0.523306522,1.523185192,2.345456272,3.460753387,3.425701731,2.263071187,2.289299644,3.100132626,1.720533848,1.383180525,2.003586185,-0.267502293,0.016709834,1.361623924,0.997197956,-0.391676867,0.5079053,1.662727199,0.425106277,0.96304741,2.104925808,6.627997246,0.596873455,2.823277186,5.247910208,4.575959852,2.358601146,1.024982528,-0.522752485,-0.532286132,0.576324696,0.438518618,0.565267132
Singapore,SGP,Consumer price index (2010 = 100),FP.CPI.TOTL,27.5191282,27.62920471,27.74513145,28.35696698,28.84643541,28.8979584,29.47759207,30.4629693,30.66262089,30.57889603,30.72058426,31.26157568,31.91205346,38.17853742,46.71847342,47.90350225,47.021171,48.50889741,50.87251469,52.94631514,57.46101735,62.16249042,64.59695181,65.3697967,67.07005545,67.39207415,66.45821991,66.80600011,67.82357921,69.41435161,71.81661113,74.27683402,75.95777165,77.69667265,80.10537254,81.48361259,82.61067805,84.26585419,84.04044109,84.05448411,85.19899008,86.04859267,85.71156023,86.14689379,87.57928162,87.95158665,88.79860213,90.66774682,96.67720258,97.25424314,100,105.2479102,110.0640123,112.6599834,113.8147285,113.2197592,112.6171061,113.2661463,113.7628395,114.4059034
Singapore,SGP,Broad money growth (annual %),FM.LBL.BMNY.ZG,,,,,4.986522911,5.840821566,14.73620376,16.91331924,24.6835443,20.81218274,15.48619448,9.277546778,25.61236623,15.52442257,13.47099312,17.90872328,12.71435571,6.56379048,10.76891699,18.7534524,24.54453834,22.44631186,15.92699914,11.93211717,6.24877571,3.790560472,9.975841978,19.8152216,13.47533028,22.47196351,19.98021185,12.4456302,8.895343821,8.453940418,14.42834531,8.499680783,9.790326377,10.26609856,30.24853375,8.514528809,-2.049589051,5.857880139,-0.332045393,8.052929344,6.236051828,6.193653432,19.36882813,13.41191456,12.04868959,11.33680893,8.590320534,9.988129393,7.225307387,4.315656774,3.331722822,1.523990844,8.043917397,3.198556098,3.855797963,
Singapore,SGP,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,,,,,,,,,,1.316746357,1.24206888,0.945842455,0.990269506,0.949183009,1.002018781,1.114255357,1.153640044,1.028795972,0.839716051,0.974890791,1.124989704,1.216931306,1.272884295,1.287486365,1.232227104,1.027187704,1.087432774,1.118675026,1.17058371,1.257382107,1.141076872,1.177531659,1.163890319,1.049840074,1.055469515,1.045397359,1.031623899,1.164566146,1.279626227,1.335993944,1.222529395,1.318155927,1.207206088,1.144114371,1.072672602,1.118555082,1.190937694,1.188234771,1.327237629,1.328920053,1.27836198,1.445814676,1.430577468,1.426630588,1.546020587,1.502373987,1.62061126,1.473908171,1.525861825,
Singapore,SGP,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,,,,52.83018868,56.91947976,55.26880279,56.36992015,58.36565609,63.19310787,65.57377049,65.44996853,60.67908628,63.62092432,58.69791065,53.961376,59.46666472,61.33276457,59.96379913,59.23413352,61.01356593,62.0999165,64.80956774,67.10769484,67.06868464,64.98859345,68.88416849,75.70055291,81.42789712,78.76883458,84.07643312,87.73298644,88.54026085,89.17548475,83.87193624,83.49666031,81.92615815,82.45198752,83.03534673,112.0642008,119.2964223,103.1790881,112.4457378,108.8173612,114.5255144,106.452094,103.3256865,111.0988454,109.1166552,121.7085685,131.4503292,123.2786032,126.18065,128.9127791,128.8508362,128.445569,122.8592629,127.9183344,124.1300819,122.6515017,
Singapore,SGP,Broad money (current LCU),FM.LBL.BMNY.CN,,,,1484000000,1558000000,1649000000,1892000000,2212000000,2758000000,3332000000,3848000000,4205000000,5282000000,6102000000,6924000000,8164000000,9202000000,9806000000,10862000000,12899000000,16065000000,19671000000,22804000000,25525000000,27120000000,28148000000,30956000000,37090000000,42088000000,51546000000,61845000000,69542000000,75728000000,82130000000,93980000000,1.01968E+11,1.11951E+11,1.23444E+11,1.60784E+11,1.74474E+11,1.70898E+11,1.80909E+11,1.80308E+11,1.94828E+11,2.06978E+11,2.19798E+11,2.6237E+11,2.97559E+11,3.3341E+11,3.71209E+11,4.03097E+11,4.43358E+11,4.75392E+11,4.95909E+11,5.12431E+11,5.2024E+11,5.62088E+11,5.80067E+11,6.02433E+11,
Singapore,SGP,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,,,,,6.199460916,4.749679076,8.853850819,5.179704017,14.24050633,16.42494561,16.20648259,11.59043659,25.25564804,37.29647861,11.45526057,12.24725592,11.19549241,9.889154532,15.55170304,24.09316885,32.33583999,31.38499844,22.15444055,23.48272233,11.8589618,0.700589971,-4.636208612,7.135934875,11.04071178,18.93176202,13.6577038,11.20219905,8.807627046,13.775618,14.72543529,19.69461588,17.0514279,14.41434199,9.264929847,-2.887103194,5.090729851,15.19210289,-8.846878818,5.103536554,4.041710551,1.773086995,4.209647516,12.84481402,11.87632012,1.631622769,9.869628524,14.32088842,10.98840374,12.80624444,6.791170792,1.407994717,5.175108503,5.010247506,4.356929988,
Singapore,SGP,Net foreign assets (current LCU),FM.AST.NFRG.CN,,,,1501000000,1424000000,1392000000,1563000000,1861000000,2267000000,2770000000,3235000000,3829000000,4303000000,4578000000,5702000000,6896000000,7326000000,7837000000,9597000000,11164495011,11873791978,12651718976,14390669046,13402301304,14797816891,19891895371,24958155978,29090276036,33935838858,41891972303,48739099436,57679563430,68359726566,76159600880,81797868236,86129363482,90226837788,92798755036,1.15473E+11,1.30913E+11,1.26306E+11,1.32838E+11,1.33133E+11,1.49959E+11,1.74935E+11,1.9494E+11,2.25758E+11,2.38654E+11,2.66181E+11,2.97638E+11,3.08225E+11,2.99869E+11,3.02897E+11,2.89677E+11,2.89979E+11,3.0221E+11,3.13669E+11,3.16429E+11,3.10524E+11,
