"Technology","Age","Value","Year","Mode","Scenario"
"PHEV",0,0,2010,"Taxi","Default"
"BEV",0,0,2010,"Taxi","Default"
"ICEV-G",0,100,2011,"Taxi","Default"
"ICEV-D",0,3251,2011,"Taxi","Default"
"HEV-G",0,22,2011,"Taxi","Default"
"CNG",0,486,2011,"Taxi","Default"
"PHEV",0,0,2011,"Taxi","Default"
"BEV",0,0,2011,"Taxi","Default"
"ICEV-G",0,334,2012,"Taxi","Default"
"ICEV-D",0,3236,2012,"Taxi","Default"
"HEV-G",0,127,2012,"Taxi","Default"
"CNG",0,0,2012,"Taxi","Default"
"PHEV",0,0,2012,"Taxi","Default"
"BEV",0,0,2012,"Taxi","Default"
"ICEV-G",0,160,2013,"Taxi","Default"
"ICEV-D",0,2679,2013,"Taxi","Default"
"HEV-G",0,651,2013,"Taxi","Default"
"CNG",0,0,2013,"Taxi","Default"
"PHEV",0,0,2013,"Taxi","Default"
"BEV",0,0,2013,"Taxi","Default"
"ICEV-G",0,0,2014,"Taxi","Default"
"ICEV-D",0,2616,2014,"Taxi","Default"
"HEV-G",0,1576,2014,"Taxi","Default"
"CNG",0,0,2014,"Taxi","Default"
"PHEV",0,0,2014,"Taxi","Default"
"BEV",0,0,2014,"Taxi","Default"
"ICEV-G",0,0,2015,"Taxi","Default"
"ICEV-D",0,3598,2015,"Taxi","Default"
"HEV-G",0,462,2015,"Taxi","Default"
"CNG",0,0,2015,"Taxi","Default"
"PHEV",0,0,2015,"Taxi","Default"
"BEV",0,0,2015,"Taxi","Default"
"ICEV-G",0,0,2016,"Taxi","Default"
"ICEV-D",0,2902,2016,"Taxi","Default"
"HEV-G",0,892,2016,"Taxi","Default"
"CNG",0,0,2016,"Taxi","Default"
"PHEV",0,0,2016,"Taxi","Default"
"BEV",0,0,2016,"Taxi","Default"
"ICEV-G",0,0,2017,"Taxi","Default"
"ICEV-D",0,0,2017,"Taxi","Default"
"HEV-G",0,2770,2017,"Taxi","Default"
"CNG",0,0,2017,"Taxi","Default"
"PHEV",0,0,2017,"Taxi","Default"
"BEV",0,0,2017,"Taxi","Default"
"ICEV-G",0,0,2018,"Taxi","Default"
"ICEV-D",0,0,2018,"Taxi","Default"
"HEV-G",0,1243,2018,"Taxi","Default"
"CNG",0,0,2018,"Taxi","Default"
"PHEV",0,0,2018,"Taxi","Default"
"BEV",0,101,2018,"Taxi","Default"
"ICEV-G",0,0,2019,"Taxi","Default"
"ICEV-D",0,0,2019,"Taxi","Default"
"HEV-G",0,3516,2019,"Taxi","Default"
"CNG",0,0,2019,"Taxi","Default"
"PHEV",0,0,2019,"Taxi","Default"
"BEV",0,33,2019,"Taxi","Default"
"ICEV-G",0,0,2020,"Taxi","Default"
"ICEV-D",0,0,2020,"Taxi","Default"
"HEV-G",0,1717,2020,"Taxi","Default"
"CNG",0,0,2020,"Taxi","Default"
"PHEV",0,0,2020,"Taxi","Default"
"BEV",0,16,2020,"Taxi","Default"
"ICEV-G",0,0,2021,"Taxi","Default"
"ICEV-D",0,0,2021,"Taxi","Default"
"HEV-G",0,1853,2021,"Taxi","Default"
"CNG",0,0,2021,"Taxi","Default"
"PHEV",0,0,2021,"Taxi","Default"
"BEV",0,17,2021,"Taxi","Default"
"ICEV-G",0,0,2022,"Taxi","Default"
"ICEV-D",0,0,2022,"Taxi","Default"
"HEV-G",0,1817,2022,"Taxi","Default"
"CNG",0,0,2022,"Taxi","Default"
"PHEV",0,0,2022,"Taxi","Default"
"BEV",0,17,2022,"Taxi","Default"
"ICEV-G",0,0,2023,"Taxi","Default"
"ICEV-D",0,0,2023,"Taxi","Default"
"HEV-G",0,1794,2023,"Taxi","Default"
"CNG",0,0,2023,"Taxi","Default"
"PHEV",0,0,2023,"Taxi","Default"
"BEV",0,17,2023,"Taxi","Default"
"ICEV-G",0,0,2024,"Taxi","Default"
"ICEV-D",0,0,2024,"Taxi","Default"
"HEV-G",0,2096,2024,"Taxi","Default"
"CNG",0,0,2024,"Taxi","Default"
"PHEV",0,0,2024,"Taxi","Default"
"BEV",0,20,2024,"Taxi","Default"
"ICEV-G",0,0,2025,"Taxi","Default"
"ICEV-D",0,0,2025,"Taxi","Default"
"HEV-G",0,2090,2025,"Taxi","Default"
"CNG",0,0,2025,"Taxi","Default"
"PHEV",0,0,2025,"Taxi","Default"
"BEV",0,20,2025,"Taxi","Default"
"ICEV-G",0,0,2026,"Taxi","Default"
"ICEV-D",0,0,2026,"Taxi","Default"
"HEV-G",0,2062,2026,"Taxi","Default"
"CNG",0,0,2026,"Taxi","Default"
"PHEV",0,0,2026,"Taxi","Default"
"BEV",0,19,2026,"Taxi","Default"
"ICEV-G",0,0,2027,"Taxi","Default"
"ICEV-D",0,0,2027,"Taxi","Default"
"HEV-G",0,2258,2027,"Taxi","Default"
"CNG",0,0,2027,"Taxi","Default"
"PHEV",0,0,2027,"Taxi","Default"
"BEV",0,21,2027,"Taxi","Default"
"ICEV-G",0,0,2028,"Taxi","Default"
"ICEV-D",0,0,2028,"Taxi","Default"
"HEV-G",0,1858,2028,"Taxi","Default"
"CNG",0,0,2028,"Taxi","Default"
"PHEV",0,0,2028,"Taxi","Default"
"BEV",0,17,2028,"Taxi","Default"
"ICEV-G",0,0,2029,"Taxi","Default"
"ICEV-D",0,0,2029,"Taxi","Default"
"HEV-G",0,2590,2029,"Taxi","Default"
"CNG",0,0,2029,"Taxi","Default"
"PHEV",0,0,2029,"Taxi","Default"
"BEV",0,24,2029,"Taxi","Default"
"ICEV-G",0,0,2030,"Taxi","Default"
"ICEV-D",0,0,2030,"Taxi","Default"
"HEV-G",0,2049,2030,"Taxi","Default"
"CNG",0,0,2030,"Taxi","Default"
"PHEV",0,0,2030,"Taxi","Default"
"BEV",0,19,2030,"Taxi","Default"
"ICEV-G",0,0,2031,"Taxi","Default"
"ICEV-D",0,0,2031,"Taxi","Default"
"HEV-G",0,2093,2031,"Taxi","Default"
"CNG",0,0,2031,"Taxi","Default"
"PHEV",0,0,2031,"Taxi","Default"
"BEV",0,20,2031,"Taxi","Default"
"ICEV-G",0,0,2032,"Taxi","Default"
"ICEV-D",0,0,2032,"Taxi","Default"
"HEV-G",0,2127,2032,"Taxi","Default"
"CNG",0,0,2032,"Taxi","Default"
"PHEV",0,0,2032,"Taxi","Default"
"BEV",0,20,2032,"Taxi","Default"
"ICEV-G",0,0,2033,"Taxi","Default"
"ICEV-D",0,0,2033,"Taxi","Default"
"HEV-G",0,2054,2033,"Taxi","Default"
"CNG",0,0,2033,"Taxi","Default"
"PHEV",0,0,2033,"Taxi","Default"
"BEV",0,19,2033,"Taxi","Default"
"ICEV-G",0,0,2034,"Taxi","Default"
"ICEV-D",0,0,2034,"Taxi","Default"
"HEV-G",0,2225,2034,"Taxi","Default"
"CNG",0,0,2034,"Taxi","Default"
"PHEV",0,0,2034,"Taxi","Default"
"BEV",0,21,2034,"Taxi","Default"
"ICEV-G",0,0,2035,"Taxi","Default"
"ICEV-D",0,0,2035,"Taxi","Default"
"HEV-G",0,2129,2035,"Taxi","Default"
"CNG",0,0,2035,"Taxi","Default"
"PHEV",0,0,2035,"Taxi","Default"
"BEV",0,20,2035,"Taxi","Default"
"ICEV-G",0,0,2036,"Taxi","Default"
"ICEV-D",0,0,2036,"Taxi","Default"
"HEV-G",0,2123,2036,"Taxi","Default"
"CNG",0,0,2036,"Taxi","Default"
"PHEV",0,0,2036,"Taxi","Default"
"BEV",0,20,2036,"Taxi","Default"
"ICEV-G",0,0,2037,"Taxi","Default"
"ICEV-D",0,0,2037,"Taxi","Default"
"HEV-G",0,2165,2037,"Taxi","Default"
"CNG",0,0,2037,"Taxi","Default"
"PHEV",0,0,2037,"Taxi","Default"
"BEV",0,20,2037,"Taxi","Default"
"ICEV-G",0,0,2038,"Taxi","Default"
"ICEV-D",0,0,2038,"Taxi","Default"
"HEV-G",0,2084,2038,"Taxi","Default"
"CNG",0,0,2038,"Taxi","Default"
"PHEV",0,0,2038,"Taxi","Default"
"BEV",0,20,2038,"Taxi","Default"
"ICEV-G",0,0,2039,"Taxi","Default"
"ICEV-D",0,0,2039,"Taxi","Default"
"HEV-G",0,2284,2039,"Taxi","Default"
"CNG",0,0,2039,"Taxi","Default"
"PHEV",0,0,2039,"Taxi","Default"
"BEV",0,21,2039,"Taxi","Default"
"ICEV-G",0,0,2040,"Taxi","Default"
"ICEV-D",0,0,2040,"Taxi","Default"
"HEV-G",0,2166,2040,"Taxi","Default"
"CNG",0,0,2040,"Taxi","Default"
"PHEV",0,0,2040,"Taxi","Default"
"BEV",0,20,2040,"Taxi","Default"
"ICEV-G",0,0,2041,"Taxi","Default"
"ICEV-D",0,0,2041,"Taxi","Default"
"HEV-G",0,2120,2041,"Taxi","Default"
"CNG",0,0,2041,"Taxi","Default"
"PHEV",0,0,2041,"Taxi","Default"
"BEV",0,20,2041,"Taxi","Default"
"ICEV-G",0,0,2042,"Taxi","Default"
"ICEV-D",0,0,2042,"Taxi","Default"
"HEV-G",0,2143,2042,"Taxi","Default"
"CNG",0,0,2042,"Taxi","Default"
"PHEV",0,0,2042,"Taxi","Default"
"BEV",0,20,2042,"Taxi","Default"
"ICEV-G",0,0,2043,"Taxi","Default"
"ICEV-D",0,0,2043,"Taxi","Default"
"HEV-G",0,2106,2043,"Taxi","Default"
"CNG",0,0,2043,"Taxi","Default"
"PHEV",0,0,2043,"Taxi","Default"
"BEV",0,20,2043,"Taxi","Default"
"ICEV-G",0,0,2044,"Taxi","Default"
"ICEV-D",0,0,2044,"Taxi","Default"
"HEV-G",0,2182,2044,"Taxi","Default"
"CNG",0,0,2044,"Taxi","Default"
"PHEV",0,0,2044,"Taxi","Default"
"BEV",0,20,2044,"Taxi","Default"
"ICEV-G",0,0,2045,"Taxi","Default"
"ICEV-D",0,0,2045,"Taxi","Default"
"HEV-G",0,2126,2045,"Taxi","Default"
"CNG",0,0,2045,"Taxi","Default"
"PHEV",0,0,2045,"Taxi","Default"
"BEV",0,20,2045,"Taxi","Default"
"ICEV-G",0,0,2046,"Taxi","Default"
"ICEV-D",0,0,2046,"Taxi","Default"
"HEV-G",0,2114,2046,"Taxi","Default"
"CNG",0,0,2046,"Taxi","Default"
"PHEV",0,0,2046,"Taxi","Default"
"BEV",0,20,2046,"Taxi","Default"
"ICEV-G",0,0,2047,"Taxi","Default"
"ICEV-D",0,0,2047,"Taxi","Default"
"HEV-G",0,2123,2047,"Taxi","Default"
"CNG",0,0,2047,"Taxi","Default"
"PHEV",0,0,2047,"Taxi","Default"
"BEV",0,20,2047,"Taxi","Default"
"ICEV-G",0,0,2048,"Taxi","Default"
"ICEV-D",0,0,2048,"Taxi","Default"
"HEV-G",0,2102,2048,"Taxi","Default"
"CNG",0,0,2048,"Taxi","Default"
"PHEV",0,0,2048,"Taxi","Default"
"BEV",0,20,2048,"Taxi","Default"
"ICEV-G",0,0,2049,"Taxi","Default"
"ICEV-D",0,0,2049,"Taxi","Default"
"HEV-G",0,2154,2049,"Taxi","Default"
"CNG",0,0,2049,"Taxi","Default"
"PHEV",0,0,2049,"Taxi","Default"
"BEV",0,20,2049,"Taxi","Default"
"ICEV-G",0,0,2050,"Taxi","Default"
"ICEV-D",0,0,2050,"Taxi","Default"
"HEV-G",0,2128,2050,"Taxi","Default"
"CNG",0,0,2050,"Taxi","Default"
"PHEV",0,0,2050,"Taxi","Default"
"BEV",0,20,2050,"Taxi","Default"
"ICEB-D",0,331,2005,"Private bus","Default"
"HEB-D",0,0,2005,"Private bus","Default"
"CNGB",0,0,2005,"Private bus","Default"
"EB",0,0,2005,"Private bus","Default"
"ICEB-D",0,277,2006,"Private bus","Default"
"HEB-D",0,0,2006,"Private bus","Default"
"CNGB",0,5,2006,"Private bus","Default"
"EB",0,0,2006,"Private bus","Default"
"ICEB-D",0,395,2007,"Private bus","Default"
"HEB-D",0,0,2007,"Private bus","Default"
"CNGB",0,0,2007,"Private bus","Default"
"EB",0,0,2007,"Private bus","Default"
"ICEB-D",0,606,2008,"Private bus","Default"
"HEB-D",0,0,2008,"Private bus","Default"
"CNGB",0,0,2008,"Private bus","Default"
"EB",0,0,2008,"Private bus","Default"
"ICEB-D",0,376,2009,"Private bus","Default"
"HEB-D",0,0,2009,"Private bus","Default"
"CNGB",0,7,2009,"Private bus","Default"
"EB",0,0,2009,"Private bus","Default"
"ICEB-D",0,309,2010,"Private bus","Default"
"HEB-D",0,1,2010,"Private bus","Default"
"CNGB",0,6,2010,"Private bus","Default"
"EB",0,0,2010,"Private bus","Default"
"ICEB-D",0,408,2011,"Private bus","Default"
"HEB-D",0,0,2011,"Private bus","Default"
"CNGB",0,0,2011,"Private bus","Default"
"EB",0,0,2011,"Private bus","Default"
"ICEB-D",0,49,2012,"Private bus","Default"
"HEB-D",0,0,2012,"Private bus","Default"
"CNGB",0,0,2012,"Private bus","Default"
"EB",0,0,2012,"Private bus","Default"
"ICEB-D",0,1,2013,"Private bus","Default"
"HEB-D",0,0,2013,"Private bus","Default"
"CNGB",0,0,2013,"Private bus","Default"
"EB",0,0,2013,"Private bus","Default"
"ICEB-D",0,106,2014,"Private bus","Default"
"HEB-D",0,0,2014,"Private bus","Default"
"CNGB",0,0,2014,"Private bus","Default"
"EB",0,0,2014,"Private bus","Default"
"ICEB-D",0,149,2015,"Private bus","Default"
"HEB-D",0,0,2015,"Private bus","Default"
"CNGB",0,0,2015,"Private bus","Default"
"EB",0,0,2015,"Private bus","Default"
"ICEB-D",0,122,2016,"Private bus","Default"
"HEB-D",0,0,2016,"Private bus","Default"
"CNGB",0,0,2016,"Private bus","Default"
"EB",0,0,2016,"Private bus","Default"
"ICEB-D",0,10,2017,"Private bus","Default"
"HEB-D",0,0,2017,"Private bus","Default"
"CNGB",0,0,2017,"Private bus","Default"
"EB",0,0,2017,"Private bus","Default"
"ICEB-D",0,66,2018,"Private bus","Default"
"HEB-D",0,3,2018,"Private bus","Default"
"CNGB",0,0,2018,"Private bus","Default"
"EB",0,1,2018,"Private bus","Default"
"ICEB-D",0,221,2019,"Private bus","Default"
"HEB-D",0,5,2019,"Private bus","Default"
"CNGB",0,0,2019,"Private bus","Default"
"EB",0,1,2019,"Private bus","Default"
"ICEB-D",0,402,2020,"Private bus","Default"
"HEB-D",0,9,2020,"Private bus","Default"
"CNGB",0,0,2020,"Private bus","Default"
"EB",0,2,2020,"Private bus","Default"
"ICEB-D",0,349,2021,"Private bus","Default"
"HEB-D",0,8,2021,"Private bus","Default"
"CNGB",0,0,2021,"Private bus","Default"
"EB",0,2,2021,"Private bus","Default"
"ICEB-D",0,305,2022,"Private bus","Default"
"HEB-D",0,7,2022,"Private bus","Default"
"CNGB",0,0,2022,"Private bus","Default"
"EB",0,1,2022,"Private bus","Default"
"ICEB-D",0,300,2023,"Private bus","Default"
"HEB-D",0,7,2023,"Private bus","Default"
"CNGB",0,0,2023,"Private bus","Default"
"EB",0,1,2023,"Private bus","Default"
"ICEB-D",0,319,2024,"Private bus","Default"
"HEB-D",0,7,2024,"Private bus","Default"
"CNGB",0,0,2024,"Private bus","Default"
"EB",0,1,2024,"Private bus","Default"
"ICEB-D",0,339,2025,"Private bus","Default"
"HEB-D",0,8,2025,"Private bus","Default"
"CNGB",0,0,2025,"Private bus","Default"
"EB",0,2,2025,"Private bus","Default"
"ICEB-D",0,300,2026,"Private bus","Default"
"HEB-D",0,7,2026,"Private bus","Default"
"CNGB",0,0,2026,"Private bus","Default"
"EB",0,1,2026,"Private bus","Default"
"ICEB-D",0,277,2027,"Private bus","Default"
"HEB-D",0,6,2027,"Private bus","Default"
"CNGB",0,0,2027,"Private bus","Default"
"EB",0,1,2027,"Private bus","Default"
"ICEB-D",0,259,2028,"Private bus","Default"
"HEB-D",0,6,2028,"Private bus","Default"
"CNGB",0,0,2028,"Private bus","Default"
"EB",0,1,2028,"Private bus","Default"
"ICEB-D",0,206,2029,"Private bus","Default"
"HEB-D",0,5,2029,"Private bus","Default"
"CNGB",0,0,2029,"Private bus","Default"
"EB",0,1,2029,"Private bus","Default"
"ICEB-D",0,197,2030,"Private bus","Default"
"HEB-D",0,4,2030,"Private bus","Default"
"CNGB",0,0,2030,"Private bus","Default"
"EB",0,1,2030,"Private bus","Default"
"ICEB-D",0,165,2031,"Private bus","Default"
"HEB-D",0,4,2031,"Private bus","Default"
"CNGB",0,0,2031,"Private bus","Default"
"EB",0,1,2031,"Private bus","Default"
"ICEB-D",0,165,2032,"Private bus","Default"
"HEB-D",0,4,2032,"Private bus","Default"
"CNGB",0,0,2032,"Private bus","Default"
"EB",0,1,2032,"Private bus","Default"
"ICEB-D",0,180,2033,"Private bus","Default"
"HEB-D",0,4,2033,"Private bus","Default"
"CNGB",0,0,2033,"Private bus","Default"
"EB",0,1,2033,"Private bus","Default"
"ICEB-D",0,192,2034,"Private bus","Default"
"HEB-D",0,4,2034,"Private bus","Default"
"CNGB",0,0,2034,"Private bus","Default"
"EB",0,1,2034,"Private bus","Default"
"ICEB-D",0,215,2035,"Private bus","Default"
"HEB-D",0,5,2035,"Private bus","Default"
"CNGB",0,0,2035,"Private bus","Default"
"EB",0,1,2035,"Private bus","Default"
"ICEB-D",0,234,2036,"Private bus","Default"
"HEB-D",0,5,2036,"Private bus","Default"
"CNGB",0,0,2036,"Private bus","Default"
"EB",0,1,2036,"Private bus","Default"
"ICEB-D",0,273,2037,"Private bus","Default"
"HEB-D",0,6,2037,"Private bus","Default"
"CNGB",0,0,2037,"Private bus","Default"
"EB",0,1,2037,"Private bus","Default"
"ICEB-D",0,291,2038,"Private bus","Default"
"HEB-D",0,7,2038,"Private bus","Default"
"CNGB",0,0,2038,"Private bus","Default"
"EB",0,1,2038,"Private bus","Default"
"ICEB-D",0,303,2039,"Private bus","Default"
"HEB-D",0,7,2039,"Private bus","Default"
"CNGB",0,0,2039,"Private bus","Default"
"EB",0,1,2039,"Private bus","Default"
"ICEB-D",0,294,2040,"Private bus","Default"
"HEB-D",0,7,2040,"Private bus","Default"
"CNGB",0,0,2040,"Private bus","Default"
"EB",0,1,2040,"Private bus","Default"
"ICEB-D",0,285,2041,"Private bus","Default"
"HEB-D",0,6,2041,"Private bus","Default"
"CNGB",0,0,2041,"Private bus","Default"
"EB",0,1,2041,"Private bus","Default"
"ICEB-D",0,276,2042,"Private bus","Default"
"HEB-D",0,6,2042,"Private bus","Default"
"CNGB",0,0,2042,"Private bus","Default"
"EB",0,1,2042,"Private bus","Default"
"ICEB-D",0,260,2043,"Private bus","Default"
"HEB-D",0,6,2043,"Private bus","Default"
"CNGB",0,0,2043,"Private bus","Default"
"EB",0,1,2043,"Private bus","Default"
"ICEB-D",0,250,2044,"Private bus","Default"
"HEB-D",0,6,2044,"Private bus","Default"
"CNGB",0,0,2044,"Private bus","Default"
"EB",0,1,2044,"Private bus","Default"
"ICEB-D",0,237,2045,"Private bus","Default"
"HEB-D",0,5,2045,"Private bus","Default"
"CNGB",0,0,2045,"Private bus","Default"
"EB",0,1,2045,"Private bus","Default"
"ICEB-D",0,224,2046,"Private bus","Default"
"HEB-D",0,5,2046,"Private bus","Default"
"CNGB",0,0,2046,"Private bus","Default"
"EB",0,1,2046,"Private bus","Default"
"ICEB-D",0,215,2047,"Private bus","Default"
"HEB-D",0,5,2047,"Private bus","Default"
"CNGB",0,0,2047,"Private bus","Default"
"EB",0,1,2047,"Private bus","Default"
"ICEB-D",0,209,2048,"Private bus","Default"
"HEB-D",0,5,2048,"Private bus","Default"
"CNGB",0,0,2048,"Private bus","Default"
"EB",0,1,2048,"Private bus","Default"
"ICEB-D",0,208,2049,"Private bus","Default"
"HEB-D",0,5,2049,"Private bus","Default"
"CNGB",0,0,2049,"Private bus","Default"
"EB",0,1,2049,"Private bus","Default"
"ICEB-D",0,212,2050,"Private bus","Default"
"HEB-D",0,5,2050,"Private bus","Default"
"CNGB",0,0,2050,"Private bus","Default"
"EB",0,1,2050,"Private bus","Default"
"ICEB-D",0,233,2005,"School bus","Default"
"HEB-D",0,0,2005,"School bus","Default"
"CNGB",0,0,2005,"School bus","Default"
"EB",0,0,2005,"School bus","Default"
"ICEB-D",0,413,2006,"School bus","Default"
"HEB-D",0,0,2006,"School bus","Default"
"CNGB",0,4,2006,"School bus","Default"
"EB",0,0,2006,"School bus","Default"
"ICEB-D",0,293,2007,"School bus","Default"
"HEB-D",0,0,2007,"School bus","Default"
"CNGB",0,0,2007,"School bus","Default"
"EB",0,0,2007,"School bus","Default"
"ICEB-D",0,601,2008,"School bus","Default"
"HEB-D",0,0,2008,"School bus","Default"
"CNGB",0,0,2008,"School bus","Default"
"EB",0,0,2008,"School bus","Default"
"ICEB-D",0,596,2009,"School bus","Default"
"HEB-D",0,0,2009,"School bus","Default"
"CNGB",0,6,2009,"School bus","Default"
"EB",0,0,2009,"School bus","Default"
"ICEB-D",0,613,2010,"School bus","Default"
"HEB-D",0,1,2010,"School bus","Default"
"CNGB",0,5,2010,"School bus","Default"
"EB",0,0,2010,"School bus","Default"
"ICEB-D",0,774,2011,"School bus","Default"
"HEB-D",0,0,2011,"School bus","Default"
"CNGB",0,0,2011,"School bus","Default"
"EB",0,0,2011,"School bus","Default"
"ICEB-D",0,696,2012,"School bus","Default"
"HEB-D",0,0,2012,"School bus","Default"
"CNGB",0,1,2012,"School bus","Default"
"EB",0,0,2012,"School bus","Default"
"ICEB-D",0,760,2013,"School bus","Default"
"HEB-D",0,0,2013,"School bus","Default"
"CNGB",0,0,2013,"School bus","Default"
"EB",0,0,2013,"School bus","Default"
"ICEB-D",0,903,2014,"School bus","Default"
"HEB-D",0,0,2014,"School bus","Default"
"CNGB",0,0,2014,"School bus","Default"
"EB",0,0,2014,"School bus","Default"
"ICEB-D",0,949,2015,"School bus","Default"
"HEB-D",0,1,2015,"School bus","Default"
"CNGB",0,0,2015,"School bus","Default"
"EB",0,0,2015,"School bus","Default"
"ICEB-D",0,998,2016,"School bus","Default"
"HEB-D",0,0,2016,"School bus","Default"
"CNGB",0,0,2016,"School bus","Default"
"EB",0,0,2016,"School bus","Default"
"ICEB-D",0,1128,2017,"School bus","Default"
"HEB-D",0,0,2017,"School bus","Default"
"CNGB",0,0,2017,"School bus","Default"
"EB",0,1,2017,"School bus","Default"
"ICEB-D",0,518,2018,"School bus","Default"
"HEB-D",0,10,2018,"School bus","Default"
"CNGB",0,0,2018,"School bus","Default"
"EB",0,1,2018,"School bus","Default"
"ICEB-D",0,591,2019,"School bus","Default"
"HEB-D",0,14,2019,"School bus","Default"
"CNGB",0,0,2019,"School bus","Default"
"EB",0,3,2019,"School bus","Default"
"ICEB-D",0,446,2020,"School bus","Default"
"HEB-D",0,11,2020,"School bus","Default"
"CNGB",0,0,2020,"School bus","Default"
"EB",0,2,2020,"School bus","Default"
"ICEB-D",0,442,2021,"School bus","Default"
"HEB-D",0,10,2021,"School bus","Default"
"CNGB",0,0,2021,"School bus","Default"
"EB",0,2,2021,"School bus","Default"
"ICEB-D",0,463,2022,"School bus","Default"
"HEB-D",0,11,2022,"School bus","Default"
"CNGB",0,0,2022,"School bus","Default"
"EB",0,2,2022,"School bus","Default"
"ICEB-D",0,528,2023,"School bus","Default"
"HEB-D",0,13,2023,"School bus","Default"
"CNGB",0,0,2023,"School bus","Default"
"EB",0,3,2023,"School bus","Default"
"ICEB-D",0,567,2024,"School bus","Default"
"HEB-D",0,13,2024,"School bus","Default"
"CNGB",0,0,2024,"School bus","Default"
"EB",0,3,2024,"School bus","Default"
"ICEB-D",0,665,2025,"School bus","Default"
"HEB-D",0,16,2025,"School bus","Default"
"CNGB",0,0,2025,"School bus","Default"
"EB",0,3,2025,"School bus","Default"
"ICEB-D",0,704,2026,"School bus","Default"
"HEB-D",0,17,2026,"School bus","Default"
"CNGB",0,0,2026,"School bus","Default"
"EB",0,4,2026,"School bus","Default"
"ICEB-D",0,757,2027,"School bus","Default"
"HEB-D",0,18,2027,"School bus","Default"
"CNGB",0,0,2027,"School bus","Default"
"EB",0,4,2027,"School bus","Default"
"ICEB-D",0,757,2028,"School bus","Default"
"HEB-D",0,18,2028,"School bus","Default"
"CNGB",0,0,2028,"School bus","Default"
"EB",0,4,2028,"School bus","Default"
"ICEB-D",0,777,2029,"School bus","Default"
"HEB-D",0,18,2029,"School bus","Default"
"CNGB",0,0,2029,"School bus","Default"
"EB",0,4,2029,"School bus","Default"
"ICEB-D",0,785,2030,"School bus","Default"
"HEB-D",0,19,2030,"School bus","Default"
"CNGB",0,0,2030,"School bus","Default"
"EB",0,4,2030,"School bus","Default"
"ICEB-D",0,796,2031,"School bus","Default"
"HEB-D",0,19,2031,"School bus","Default"
"CNGB",0,0,2031,"School bus","Default"
"EB",0,4,2031,"School bus","Default"
"ICEB-D",0,789,2032,"School bus","Default"
"HEB-D",0,19,2032,"School bus","Default"
"CNGB",0,0,2032,"School bus","Default"
"EB",0,4,2032,"School bus","Default"
"ICEB-D",0,789,2033,"School bus","Default"
"HEB-D",0,19,2033,"School bus","Default"
"CNGB",0,0,2033,"School bus","Default"
"EB",0,4,2033,"School bus","Default"
"ICEB-D",0,785,2034,"School bus","Default"
"HEB-D",0,19,2034,"School bus","Default"
"CNGB",0,0,2034,"School bus","Default"
"EB",0,4,2034,"School bus","Default"
"ICEB-D",0,708,2035,"School bus","Default"
"HEB-D",0,17,2035,"School bus","Default"
"CNGB",0,0,2035,"School bus","Default"
"EB",0,4,2035,"School bus","Default"
"ICEB-D",0,694,2036,"School bus","Default"
"HEB-D",0,16,2036,"School bus","Default"
"CNGB",0,0,2036,"School bus","Default"
"EB",0,4,2036,"School bus","Default"
"ICEB-D",0,615,2037,"School bus","Default"
"HEB-D",0,15,2037,"School bus","Default"
"CNGB",0,0,2037,"School bus","Default"
"EB",0,3,2037,"School bus","Default"
"ICEB-D",0,603,2038,"School bus","Default"
"HEB-D",0,14,2038,"School bus","Default"
"CNGB",0,0,2038,"School bus","Default"
"EB",0,3,2038,"School bus","Default"
"ICEB-D",0,592,2039,"School bus","Default"
"HEB-D",0,14,2039,"School bus","Default"
"CNGB",0,0,2039,"School bus","Default"
"EB",0,3,2039,"School bus","Default"
"ICEB-D",0,614,2040,"School bus","Default"
"HEB-D",0,15,2040,"School bus","Default"
"CNGB",0,0,2040,"School bus","Default"
"EB",0,3,2040,"School bus","Default"
"ICEB-D",0,639,2041,"School bus","Default"
"HEB-D",0,15,2041,"School bus","Default"
"CNGB",0,0,2041,"School bus","Default"
"EB",0,3,2041,"School bus","Default"
"ICEB-D",0,675,2042,"School bus","Default"
"HEB-D",0,16,2042,"School bus","Default"
"CNGB",0,0,2042,"School bus","Default"
"EB",0,3,2042,"School bus","Default"
"ICEB-D",0,704,2043,"School bus","Default"
"HEB-D",0,17,2043,"School bus","Default"
"CNGB",0,0,2043,"School bus","Default"
"EB",0,4,2043,"School bus","Default"
"ICEB-D",0,731,2044,"School bus","Default"
"HEB-D",0,17,2044,"School bus","Default"
"CNGB",0,0,2044,"School bus","Default"
"EB",0,4,2044,"School bus","Default"
"ICEB-D",0,737,2045,"School bus","Default"
"HEB-D",0,17,2045,"School bus","Default"
"CNGB",0,0,2045,"School bus","Default"
"EB",0,4,2045,"School bus","Default"
"ICEB-D",0,743,2046,"School bus","Default"
"HEB-D",0,18,2046,"School bus","Default"
"CNGB",0,0,2046,"School bus","Default"
"EB",0,4,2046,"School bus","Default"
"ICEB-D",0,736,2047,"School bus","Default"
"HEB-D",0,17,2047,"School bus","Default"
"CNGB",0,0,2047,"School bus","Default"
"EB",0,4,2047,"School bus","Default"
"ICEB-D",0,733,2048,"School bus","Default"
"HEB-D",0,17,2048,"School bus","Default"
"CNGB",0,0,2048,"School bus","Default"
"EB",0,4,2048,"School bus","Default"
"ICEB-D",0,719,2049,"School bus","Default"
"HEB-D",0,17,2049,"School bus","Default"
