"Scenario","Electrification target year","Electricity GHG intensity","Value","Unit"
"Public transit development (PT)",2047,0.2065,"9.97e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.2065,"1.35e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.2065,"1.01e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.2065,"1.36e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.2065,"1.02e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.2065,"1.38e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.2065,"1.03e+02","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.1652,"1.01e+02","Mt CO2 eq."
"Public transit development (PT)",2030,0.1652,"7.87e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.1652,"1.01e+02","Mt CO2 eq."
"Public transit development (PT)",2031,0.1652,"7.87e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.1652,"1.03e+02","Mt CO2 eq."
"Public transit development (PT)",2032,0.1652,"7.98e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.1652,"1.04e+02","Mt CO2 eq."
"Public transit development (PT)",2033,0.1652,"8.08e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.1652,"1.06e+02","Mt CO2 eq."
"Public transit development (PT)",2034,0.1652,"8.18e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.1652,"1.07e+02","Mt CO2 eq."
"Public transit development (PT)",2035,0.1652,"8.28e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.1652,"1.09e+02","Mt CO2 eq."
"Public transit development (PT)",2036,0.1652,"8.39e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.1652,"1.11e+02","Mt CO2 eq."
"Public transit development (PT)",2037,0.1652,"8.49e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.1652,"1.12e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.1652,"8.60e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.1652,"1.14e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.1652,"8.71e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.1652,"1.16e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.1652,"8.82e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.1652,"1.18e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.1652,"8.93e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.1652,"1.20e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.1652,"9.05e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.1652,"1.21e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.1652,"9.17e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.1652,"1.23e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.1652,"9.28e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.1652,"1.25e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.1652,"9.40e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.1652,"1.27e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.1652,"9.52e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.1652,"1.29e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.1652,"9.64e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.1652,"1.30e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.1652,"9.76e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.1652,"1.32e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.1652,"9.87e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.1652,"1.34e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.1652,"9.99e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.1239,"9.49e+01","Mt CO2 eq."
"Public transit development (PT)",2030,0.1239,"7.42e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.1239,"9.49e+01","Mt CO2 eq."
"Public transit development (PT)",2031,0.1239,"7.42e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.1239,"9.66e+01","Mt CO2 eq."
"Public transit development (PT)",2032,0.1239,"7.53e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.1239,"9.83e+01","Mt CO2 eq."
"Public transit development (PT)",2033,0.1239,"7.65e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2034,0.1239,"9.99e+01","Mt CO2 eq."
"Public transit development (PT)",2034,0.1239,"7.75e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2035,0.1239,"1.02e+02","Mt CO2 eq."
"Public transit development (PT)",2035,0.1239,"7.86e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2036,0.1239,"1.03e+02","Mt CO2 eq."
"Public transit development (PT)",2036,0.1239,"7.97e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2037,0.1239,"1.05e+02","Mt CO2 eq."
"Public transit development (PT)",2037,0.1239,"8.08e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2038,0.1239,"1.07e+02","Mt CO2 eq."
"Public transit development (PT)",2038,0.1239,"8.20e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2039,0.1239,"1.09e+02","Mt CO2 eq."
"Public transit development (PT)",2039,0.1239,"8.32e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2040,0.1239,"1.11e+02","Mt CO2 eq."
"Public transit development (PT)",2040,0.1239,"8.44e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2041,0.1239,"1.13e+02","Mt CO2 eq."
"Public transit development (PT)",2041,0.1239,"8.56e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2042,0.1239,"1.15e+02","Mt CO2 eq."
"Public transit development (PT)",2042,0.1239,"8.68e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2043,0.1239,"1.17e+02","Mt CO2 eq."
"Public transit development (PT)",2043,0.1239,"8.80e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2044,0.1239,"1.19e+02","Mt CO2 eq."
"Public transit development (PT)",2044,0.1239,"8.93e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2045,0.1239,"1.20e+02","Mt CO2 eq."
"Public transit development (PT)",2045,0.1239,"9.06e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2046,0.1239,"1.22e+02","Mt CO2 eq."
"Public transit development (PT)",2046,0.1239,"9.19e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2047,0.1239,"1.24e+02","Mt CO2 eq."
"Public transit development (PT)",2047,0.1239,"9.31e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2048,0.1239,"1.26e+02","Mt CO2 eq."
"Public transit development (PT)",2048,0.1239,"9.44e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2049,0.1239,"1.28e+02","Mt CO2 eq."
"Public transit development (PT)",2049,0.1239,"9.56e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2050,0.1239,"1.30e+02","Mt CO2 eq."
"Public transit development (PT)",2050,0.1239,"9.68e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2030,0.0826,"8.87e+01","Mt CO2 eq."
"Public transit development (PT)",2030,0.0826,"6.97e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2031,0.0826,"8.87e+01","Mt CO2 eq."
"Public transit development (PT)",2031,0.0826,"6.97e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2032,0.0826,"9.05e+01","Mt CO2 eq."
"Public transit development (PT)",2032,0.0826,"7.09e+01","Mt CO2 eq."
"Private car ubiquity (PC)",2033,0.0826,"9.22e+01","Mt CO2 eq."
"Public transit development (PT)",2033,0.0826,"7.21e+01","Mt CO2 eq."
