"Technology","Year","Value","Mode","Scenario"
"CNGV/B",2049,0,"Private car","Private Car ubiquity"
"PHEV",2049,0,"Private car","Private Car ubiquity"
"EV/B",2049,103628,"Private car","Private Car ubiquity"
"ICEV/B-G",2050,0,"Private car","Private Car ubiquity"
"ICEV/B-D",2050,0,"Private car","Private Car ubiquity"
"HEV/B-G",2050,0,"Private car","Private Car ubiquity"
"CNGV/B",2050,0,"Private car","Private Car ubiquity"
"PHEV",2050,0,"Private car","Private Car ubiquity"
"EV/B",2050,103503,"Private car","Private Car ubiquity"
"ICEV/B-G",2020,23,"Taxi","Private Car ubiquity"
"ICEV/B-D",2020,8395,"Taxi","Private Car ubiquity"
"HEV/B-G",2020,9907,"Taxi","Private Car ubiquity"
"CNGV/B",2020,0,"Taxi","Private Car ubiquity"
"PHEV",2020,0,"Taxi","Private Car ubiquity"
"EV/B",2020,145,"Taxi","Private Car ubiquity"
"ICEV/B-G",2021,21,"Taxi","Private Car ubiquity"
"ICEV/B-D",2021,7057,"Taxi","Private Car ubiquity"
"HEV/B-G",2021,10998,"Taxi","Private Car ubiquity"
"CNGV/B",2021,0,"Taxi","Private Car ubiquity"
"PHEV",2021,0,"Taxi","Private Car ubiquity"
"EV/B",2021,319,"Taxi","Private Car ubiquity"
"ICEV/B-G",2022,14,"Taxi","Private Car ubiquity"
"ICEV/B-D",2022,5933,"Taxi","Private Car ubiquity"
"HEV/B-G",2022,11729,"Taxi","Private Car ubiquity"
"CNGV/B",2022,0,"Taxi","Private Car ubiquity"
"PHEV",2022,0,"Taxi","Private Car ubiquity"
"EV/B",2022,644,"Taxi","Private Car ubiquity"
"ICEV/B-G",2023,11,"Taxi","Private Car ubiquity"
"ICEV/B-D",2023,4987,"Taxi","Private Car ubiquity"
"HEV/B-G",2023,12134,"Taxi","Private Car ubiquity"
"CNGV/B",2023,0,"Taxi","Private Car ubiquity"
"PHEV",2023,0,"Taxi","Private Car ubiquity"
"EV/B",2023,1108,"Taxi","Private Car ubiquity"
