"Scenario","Electrification target year","PT modal share change","Motorized pkt change","Value","Unit"
"Transition to renewable",2032,"1.5%","-2%","5.81e+01","Mt CO2 eq."
"Constant",2034,"1.5%","-2%","8.03e+01","Mt CO2 eq."
"Transition to renewable",2034,"1.5%","-2%","5.97e+01","Mt CO2 eq."
"Constant",2036,"1.5%","-2%","8.13e+01","Mt CO2 eq."
"Transition to renewable",2036,"1.5%","-2%","6.13e+01","Mt CO2 eq."
"Constant",2038,"1.5%","-2%","8.24e+01","Mt CO2 eq."
"Transition to renewable",2038,"1.5%","-2%","6.31e+01","Mt CO2 eq."
"Constant",2040,"1.5%","-2%","8.35e+01","Mt CO2 eq."
"Transition to renewable",2040,"1.5%","-2%","6.52e+01","Mt CO2 eq."
"Constant",2042,"1.5%","-2%","8.45e+01","Mt CO2 eq."
"Transition to renewable",2042,"1.5%","-2%","6.72e+01","Mt CO2 eq."
"Constant",2044,"1.5%","-2%","8.56e+01","Mt CO2 eq."
"Transition to renewable",2044,"1.5%","-2%","6.92e+01","Mt CO2 eq."
"Constant",2046,"1.5%","-2%","8.65e+01","Mt CO2 eq."
"Transition to renewable",2046,"1.5%","-2%","7.11e+01","Mt CO2 eq."
"Constant",2048,"1.5%","-2%","8.74e+01","Mt CO2 eq."
"Transition to renewable",2048,"1.5%","-2%","7.29e+01","Mt CO2 eq."
"Constant",2050,"1.5%","-2%","8.81e+01","Mt CO2 eq."
"Transition to renewable",2050,"1.5%","-2%","7.45e+01","Mt CO2 eq."
"Constant",2030,"2%","-2%","7.25e+01","Mt CO2 eq."
"Transition to renewable",2030,"2%","-2%","5.42e+01","Mt CO2 eq."
"Constant",2032,"2%","-2%","7.30e+01","Mt CO2 eq."
"Transition to renewable",2032,"2%","-2%","5.49e+01","Mt CO2 eq."
"Constant",2034,"2%","-2%","7.39e+01","Mt CO2 eq."
"Transition to renewable",2034,"2%","-2%","5.63e+01","Mt CO2 eq."
"Constant",2036,"2%","-2%","7.47e+01","Mt CO2 eq."
"Transition to renewable",2036,"2%","-2%","5.77e+01","Mt CO2 eq."
"Constant",2038,"2%","-2%","7.57e+01","Mt CO2 eq."
"Transition to renewable",2038,"2%","-2%","5.94e+01","Mt CO2 eq."
"Constant",2040,"2%","-2%","7.67e+01","Mt CO2 eq."
"Transition to renewable",2040,"2%","-2%","6.12e+01","Mt CO2 eq."
"Constant",2042,"2%","-2%","7.76e+01","Mt CO2 eq."
"Transition to renewable",2042,"2%","-2%","6.30e+01","Mt CO2 eq."
"Constant",2044,"2%","-2%","7.85e+01","Mt CO2 eq."
"Transition to renewable",2044,"2%","-2%","6.47e+01","Mt CO2 eq."
"Constant",2046,"2%","-2%","7.92e+01","Mt CO2 eq."
"Transition to renewable",2046,"2%","-2%","6.63e+01","Mt CO2 eq."
"Constant",2048,"2%","-2%","7.99e+01","Mt CO2 eq."
"Transition to renewable",2048,"2%","-2%","6.77e+01","Mt CO2 eq."
"Constant",2050,"2%","-2%","8.05e+01","Mt CO2 eq."
"Transition to renewable",2050,"2%","-2%","6.90e+01","Mt CO2 eq."
