"Fuel","Year","Value","Mode","Unit"
"Diesel",2014,182338.8,"Private hire car","L or kWh"
"CNG",2014,379545.6,"Private hire car","L or kWh"
"Electricity",2014,4304.52317267916,"Private hire car","L or kWh"
"Gasoline",2015,86658738.1064844,"Private hire car","L or kWh"
"Diesel",2015,535246.776,"Private hire car","L or kWh"
"CNG",2015,551086.656,"Private hire car","L or kWh"
"Electricity",2015,21276.6431106713,"Private hire car","L or kWh"
"Gasoline",2016,144265973.87785,"Private hire car","L or kWh"
"Diesel",2016,1609448.472,"Private hire car","L or kWh"
"CNG",2016,814938.624,"Private hire car","L or kWh"
"Electricity",2016,52038.8746754949,"Private hire car","L or kWh"
"Gasoline",2017,182326286.243788,"Private hire car","L or kWh"
"Diesel",2017,3222107.352,"Private hire car","L or kWh"
"CNG",2017,633841.152,"Private hire car","L or kWh"
"Electricity",2017,334356.934321489,"Private hire car","L or kWh"
"Gasoline",2018,192465465.913213,"Private hire car","L or kWh"
"Diesel",2018,3697281,"Private hire car","L or kWh"
"CNG",2018,243146.4,"Private hire car","L or kWh"
"Electricity",2018,722270.681806637,"Private hire car","L or kWh"
"Gasoline",2019,220917701.958851,"Private hire car","L or kWh"
"Diesel",2019,4379650.8,"Private hire car","L or kWh"
"CNG",2019,189772.8,"Private hire car","L or kWh"
"Electricity",2019,1233596.34401539,"Private hire car","L or kWh"
"Gasoline",2005,7634.31556907062,"Taxi","L or kWh"
"Diesel",2005,95253681.7882429,"Taxi","L or kWh"
"CNG",2005,1362569.21270607,"Taxi","L or kWh"
"Electricity",2005,0,"Taxi","L or kWh"
"Gasoline",2006,7102.69515079475,"Taxi","L or kWh"
"Diesel",2006,94319318.8362396,"Taxi","L or kWh"
"CNG",2006,1356890.47289483,"Taxi","L or kWh"
"Electricity",2006,0,"Taxi","L or kWh"
"Gasoline",2007,7241.82343385826,"Taxi","L or kWh"
"Diesel",2007,97823371.7394069,"Taxi","L or kWh"
"CNG",2007,2689057.43135269,"Taxi","L or kWh"
"Electricity",2007,0,"Taxi","L or kWh"
"Gasoline",2008,46705.5638025615,"Taxi","L or kWh"
"Diesel",2008,83258359.8941143,"Taxi","L or kWh"
"CNG",2008,8358057.40937143,"Taxi","L or kWh"
"Electricity",2008,0,"Taxi","L or kWh"
"Gasoline",2009,824526.948859884,"Taxi","L or kWh"
"Diesel",2009,78294933.9508102,"Taxi","L or kWh"
"CNG",2009,19679765.693244,"Taxi","L or kWh"
"Electricity",2009,0,"Taxi","L or kWh"
"Gasoline",2010,1427035.9564971,"Taxi","L or kWh"
"Diesel",2010,83779254.6541885,"Taxi","L or kWh"
"CNG",2010,29899310.991054,"Taxi","L or kWh"
"Electricity",2010,0,"Taxi","L or kWh"
"Gasoline",2011,1725872.58008879,"Taxi","L or kWh"
"Diesel",2011,87721217.0431719,"Taxi","L or kWh"
"CNG",2011,33219799.4966785,"Taxi","L or kWh"
"Electricity",2011,0,"Taxi","L or kWh"
"Gasoline",2012,2986183.75311371,"Taxi","L or kWh"
"Diesel",2012,92296420.565444,"Taxi","L or kWh"
"CNG",2012,30666967.1467753,"Taxi","L or kWh"
"Electricity",2012,0,"Taxi","L or kWh"
"Gasoline",2013,5767136.91495405,"Taxi","L or kWh"
"Diesel",2013,91656142.2418377,"Taxi","L or kWh"
"CNG",2013,27820073.3201158,"Taxi","L or kWh"
"Electricity",2013,0,"Taxi","L or kWh"
"Gasoline",2014,9217439.47242833,"Taxi","L or kWh"
"Diesel",2014,96457334.3361438,"Taxi","L or kWh"
"CNG",2014,26260540.2017181,"Taxi","L or kWh"
"Electricity",2014,0,"Taxi","L or kWh"
"Gasoline",2015,10010885.8900794,"Taxi","L or kWh"
"Diesel",2015,96140418.4120558,"Taxi","L or kWh"
"CNG",2015,20969066.1172724,"Taxi","L or kWh"
"Electricity",2015,0,"Taxi","L or kWh"
"Gasoline",2016,10529781.4343092,"Taxi","L or kWh"
"Diesel",2016,91697144.5009744,"Taxi","L or kWh"
"CNG",2016,12694246.8923077,"Taxi","L or kWh"
"Electricity",2016,0,"Taxi","L or kWh"
"Gasoline",2017,15041879.7973603,"Taxi","L or kWh"
"Diesel",2017,71289436.9857266,"Taxi","L or kWh"
"CNG",2017,0,"Taxi","L or kWh"
"Electricity",2017,0,"Taxi","L or kWh"
"Gasoline",2018,15779313.5080293,"Taxi","L or kWh"
"Diesel",2018,48650741.1840047,"Taxi","L or kWh"
"CNG",2018,0,"Taxi","L or kWh"
"Electricity",2018,1250550.97517127,"Taxi","L or kWh"
"Gasoline",2019,27647415.6522355,"Taxi","L or kWh"
"Diesel",2019,34951638.5258332,"Taxi","L or kWh"
"CNG",2019,0,"Taxi","L or kWh"
"Electricity",2019,1827854.24765397,"Taxi","L or kWh"
"Diesel",2005,107646441.2124,"Private bus","L or kWh"
"CNG",2005,0,"Private bus","L or kWh"
"Electricity",2005,0,"Private bus","L or kWh"
"Diesel",2006,113654252.376,"Private bus","L or kWh"
"CNG",2006,182335.2,"Private bus","L or kWh"
"Electricity",2006,0,"Private bus","L or kWh"
"Diesel",2007,120352462.884,"Private bus","L or kWh"
"CNG",2007,186041.2,"Private bus","L or kWh"
"Electricity",2007,0,"Private bus","L or kWh"
"Diesel",2008,122673174.732,"Private bus","L or kWh"
"CNG",2008,180482.2,"Private bus","L or kWh"
"Electricity",2008,0,"Private bus","L or kWh"
"Diesel",2009,126159776.028,"Private bus","L or kWh"
"CNG",2009,439383.36,"Private bus","L or kWh"
"Electricity",2009,0,"Private bus","L or kWh"
"Diesel",2010,129994957.824,"Private bus","L or kWh"
"CNG",2010,683089.92,"Private bus","L or kWh"
"Electricity",2010,0,"Private bus","L or kWh"
"Diesel",2011,135732390.072,"Private bus","L or kWh"
"CNG",2011,313675.84,"Private bus","L or kWh"
"Electricity",2011,0,"Private bus","L or kWh"
"Diesel",2012,127032219.12,"Private bus","L or kWh"
"CNG",2012,311896.96,"Private bus","L or kWh"
"Electricity",2012,0,"Private bus","L or kWh"
