"Technology","Year","Value","Mode","Scenario"
"PHEV",2018,0,"Taxi","Default"
"BEV",2018,101,"Taxi","Default"
"ICEV-G",2019,24,"Taxi","Default"
"ICEV-D",2019,9761,"Taxi","Default"
"HEV-G",2019,8627,"Taxi","Default"
"CNG",2019,0,"Taxi","Default"
"PHEV",2019,0,"Taxi","Default"
"BEV",2019,133,"Taxi","Default"
"ICEV-G",2020,23,"Taxi","Default"
"ICEV-D",2020,8395,"Taxi","Default"
"HEV-G",2020,10124,"Taxi","Default"
"CNG",2020,0,"Taxi","Default"
"PHEV",2020,0,"Taxi","Default"
"BEV",2020,147,"Taxi","Default"
"ICEV-G",2021,21,"Taxi","Default"
"ICEV-D",2021,7057,"Taxi","Default"
"HEV-G",2021,11599,"Taxi","Default"
"CNG",2021,0,"Taxi","Default"
"PHEV",2021,0,"Taxi","Default"
"BEV",2021,160,"Taxi","Default"
"ICEV-G",2022,14,"Taxi","Default"
"ICEV-D",2022,5933,"Taxi","Default"
"HEV-G",2022,12870,"Taxi","Default"
"CNG",2022,0,"Taxi","Default"
"PHEV",2022,0,"Taxi","Default"
"BEV",2022,170,"Taxi","Default"
"ICEV-G",2023,11,"Taxi","Default"
"ICEV-D",2023,4987,"Taxi","Default"
"HEV-G",2023,13963,"Taxi","Default"
"CNG",2023,0,"Taxi","Default"
"PHEV",2023,0,"Taxi","Default"
"BEV",2023,175,"Taxi","Default"
"ICEV-G",2024,10,"Taxi","Default"
"ICEV-D",2024,4039,"Taxi","Default"
"HEV-G",2024,15049,"Taxi","Default"
"CNG",2024,0,"Taxi","Default"
"PHEV",2024,0,"Taxi","Default"
"BEV",2024,183,"Taxi","Default"
"ICEV-G",2025,8,"Taxi","Default"
"ICEV-D",2025,2941,"Taxi","Default"
"HEV-G",2025,16277,"Taxi","Default"
"CNG",2025,0,"Taxi","Default"
"PHEV",2025,0,"Taxi","Default"
"BEV",2025,193,"Taxi","Default"
"ICEV-G",2026,5,"Taxi","Default"
"ICEV-D",2026,2019,"Taxi","Default"
"HEV-G",2026,17320,"Taxi","Default"
"CNG",2026,0,"Taxi","Default"
"PHEV",2026,0,"Taxi","Default"
"BEV",2026,205,"Taxi","Default"
"ICEV-G",2027,2,"Taxi","Default"
"ICEV-D",2027,1622,"Taxi","Default"
"HEV-G",2027,17835,"Taxi","Default"
"CNG",2027,0,"Taxi","Default"
"PHEV",2027,0,"Taxi","Default"
"BEV",2027,214,"Taxi","Default"
"ICEV-G",2028,1,"Taxi","Default"
"ICEV-D",2028,1249,"Taxi","Default"
"HEV-G",2028,18352,"Taxi","Default"
"CNG",2028,0,"Taxi","Default"
"PHEV",2028,0,"Taxi","Default"
"BEV",2028,189,"Taxi","Default"
"ICEV-G",2029,1,"Taxi","Default"
"ICEV-D",2029,912,"Taxi","Default"
"HEV-G",2029,18795,"Taxi","Default"
"CNG",2029,0,"Taxi","Default"
"PHEV",2029,0,"Taxi","Default"
"BEV",2029,194,"Taxi","Default"
"ICEV-G",2030,1,"Taxi","Default"
"ICEV-D",2030,613,"Taxi","Default"
"HEV-G",2030,19194,"Taxi","Default"
"CNG",2030,0,"Taxi","Default"
"PHEV",2030,0,"Taxi","Default"
"BEV",2030,197,"Taxi","Default"
"ICEV-G",2031,1,"Taxi","Default"
"ICEV-D",2031,413,"Taxi","Default"
"HEV-G",2031,19490,"Taxi","Default"
"CNG",2031,0,"Taxi","Default"
"PHEV",2031,0,"Taxi","Default"
"BEV",2031,197,"Taxi","Default"
"ICEV-G",2032,1,"Taxi","Default"
"ICEV-D",2032,324,"Taxi","Default"
"HEV-G",2032,19667,"Taxi","Default"
"CNG",2032,0,"Taxi","Default"
"PHEV",2032,0,"Taxi","Default"
"BEV",2032,197,"Taxi","Default"
"ICEV-G",2033,0,"Taxi","Default"
"ICEV-D",2033,249,"Taxi","Default"
"HEV-G",2033,19826,"Taxi","Default"
"CNG",2033,0,"Taxi","Default"
"PHEV",2033,0,"Taxi","Default"
"BEV",2033,193,"Taxi","Default"
"ICEV-G",2034,0,"Taxi","Default"
"ICEV-D",2034,186,"Taxi","Default"
"HEV-G",2034,19958,"Taxi","Default"
"CNG",2034,0,"Taxi","Default"
"PHEV",2034,0,"Taxi","Default"
"BEV",2034,195,"Taxi","Default"
"ICEV-G",2035,0,"Taxi","Default"
"ICEV-D",2035,125,"Taxi","Default"
"HEV-G",2035,20080,"Taxi","Default"
"CNG",2035,0,"Taxi","Default"
"PHEV",2035,0,"Taxi","Default"
"BEV",2035,197,"Taxi","Default"
"ICEV-G",2036,0,"Taxi","Default"
"ICEV-D",2036,53,"Taxi","Default"
"HEV-G",2036,20204,"Taxi","Default"
"CNG",2036,0,"Taxi","Default"
"PHEV",2036,0,"Taxi","Default"
"BEV",2036,199,"Taxi","Default"
"ICEV-G",2037,0,"Taxi","Default"
"ICEV-D",2037,0,"Taxi","Default"
"HEV-G",2037,20302,"Taxi","Default"
"CNG",2037,0,"Taxi","Default"
"PHEV",2037,0,"Taxi","Default"
"BEV",2037,199,"Taxi","Default"
"ICEV-G",2038,0,"Taxi","Default"
"ICEV-D",2038,0,"Taxi","Default"
"HEV-G",2038,20338,"Taxi","Default"
"CNG",2038,0,"Taxi","Default"
"PHEV",2038,0,"Taxi","Default"
"BEV",2038,201,"Taxi","Default"
"ICEV-G",2039,0,"Taxi","Default"
"ICEV-D",2039,0,"Taxi","Default"
"HEV-G",2039,20371,"Taxi","Default"
"CNG",2039,0,"Taxi","Default"
"PHEV",2039,0,"Taxi","Default"
"BEV",2039,197,"Taxi","Default"
"ICEV-G",2040,0,"Taxi","Default"
"ICEV-D",2040,0,"Taxi","Default"
"HEV-G",2040,20394,"Taxi","Default"
"CNG",2040,0,"Taxi","Default"
"PHEV",2040,0,"Taxi","Default"
"BEV",2040,196,"Taxi","Default"
"ICEV-G",2041,0,"Taxi","Default"
"ICEV-D",2041,0,"Taxi","Default"
"HEV-G",2041,20410,"Taxi","Default"
"CNG",2041,0,"Taxi","Default"
"PHEV",2041,0,"Taxi","Default"
"BEV",2041,195,"Taxi","Default"
"ICEV-G",2042,0,"Taxi","Default"
"ICEV-D",2042,0,"Taxi","Default"
"HEV-G",2042,20417,"Taxi","Default"
"CNG",2042,0,"Taxi","Default"
"PHEV",2042,0,"Taxi","Default"
"BEV",2042,195,"Taxi","Default"
"ICEV-G",2043,0,"Taxi","Default"
"ICEV-D",2043,0,"Taxi","Default"
"HEV-G",2043,20418,"Taxi","Default"
"CNG",2043,0,"Taxi","Default"
"PHEV",2043,0,"Taxi","Default"
"BEV",2043,195,"Taxi","Default"
"ICEV-G",2044,0,"Taxi","Default"
"ICEV-D",2044,0,"Taxi","Default"
"HEV-G",2044,20411,"Taxi","Default"
"CNG",2044,0,"Taxi","Default"
"PHEV",2044,0,"Taxi","Default"
"BEV",2044,195,"Taxi","Default"
"ICEV-G",2045,0,"Taxi","Default"
"ICEV-D",2045,0,"Taxi","Default"
"HEV-G",2045,20401,"Taxi","Default"
"CNG",2045,0,"Taxi","Default"
"PHEV",2045,0,"Taxi","Default"
"BEV",2045,195,"Taxi","Default"
"ICEV-G",2046,0,"Taxi","Default"
"ICEV-D",2046,0,"Taxi","Default"
"HEV-G",2046,20385,"Taxi","Default"
"CNG",2046,0,"Taxi","Default"
"PHEV",2046,0,"Taxi","Default"
"BEV",2046,194,"Taxi","Default"
"ICEV-G",2047,0,"Taxi","Default"
"ICEV-D",2047,0,"Taxi","Default"
"HEV-G",2047,20364,"Taxi","Default"
"CNG",2047,0,"Taxi","Default"
"PHEV",2047,0,"Taxi","Default"
"BEV",2047,194,"Taxi","Default"
"ICEV-G",2048,0,"Taxi","Default"
"ICEV-D",2048,0,"Taxi","Default"
"HEV-G",2048,20338,"Taxi","Default"
"CNG",2048,0,"Taxi","Default"
"PHEV",2048,0,"Taxi","Default"
"BEV",2048,194,"Taxi","Default"
"ICEV-G",2049,0,"Taxi","Default"
"ICEV-D",2049,0,"Taxi","Default"
"HEV-G",2049,20308,"Taxi","Default"
"CNG",2049,0,"Taxi","Default"
"PHEV",2049,0,"Taxi","Default"
"BEV",2049,194,"Taxi","Default"
"ICEV-G",2050,0,"Taxi","Default"
"ICEV-D",2050,0,"Taxi","Default"
"HEV-G",2050,20275,"Taxi","Default"
"CNG",2050,0,"Taxi","Default"
"PHEV",2050,0,"Taxi","Default"
"BEV",2050,194,"Taxi","Default"
"ICEB-D",2005,5647,"Private bus","Default"
"HEB-D",2005,0,"Private bus","Default"
"CNGB",2005,0,"Private bus","Default"
"EB",2005,0,"Private bus","Default"
"ICEB-D",2006,5761,"Private bus","Default"
"HEB-D",2006,0,"Private bus","Default"
"CNGB",2006,5,"Private bus","Default"
"EB",2006,0,"Private bus","Default"
"ICEB-D",2007,5979,"Private bus","Default"
"HEB-D",2007,0,"Private bus","Default"
"CNGB",2007,5,"Private bus","Default"
"EB",2007,0,"Private bus","Default"
"ICEB-D",2008,6282,"Private bus","Default"
"HEB-D",2008,0,"Private bus","Default"
"CNGB",2008,5,"Private bus","Default"
"EB",2008,0,"Private bus","Default"
"ICEB-D",2009,6369,"Private bus","Default"
"HEB-D",2009,0,"Private bus","Default"
"CNGB",2009,12,"Private bus","Default"
"EB",2009,0,"Private bus","Default"
"ICEB-D",2010,6331,"Private bus","Default"
"HEB-D",2010,1,"Private bus","Default"
"CNGB",2010,18,"Private bus","Default"
"EB",2010,0,"Private bus","Default"
"ICEB-D",2011,6398,"Private bus","Default"
"HEB-D",2011,1,"Private bus","Default"
"CNGB",2011,8,"Private bus","Default"
"EB",2011,0,"Private bus","Default"
"ICEB-D",2012,6022,"Private bus","Default"
"HEB-D",2012,1,"Private bus","Default"
"CNGB",2012,8,"Private bus","Default"
"EB",2012,0,"Private bus","Default"
"ICEB-D",2013,5519,"Private bus","Default"
"HEB-D",2013,1,"Private bus","Default"
"CNGB",2013,6,"Private bus","Default"
"EB",2013,0,"Private bus","Default"
"ICEB-D",2014,4948,"Private bus","Default"
"HEB-D",2014,1,"Private bus","Default"
"CNGB",2014,6,"Private bus","Default"
"EB",2014,0,"Private bus","Default"
"ICEB-D",2015,4621,"Private bus","Default"
"HEB-D",2015,1,"Private bus","Default"
"CNGB",2015,3,"Private bus","Default"
"EB",2015,0,"Private bus","Default"
"ICEB-D",2016,4253,"Private bus","Default"
"HEB-D",2016,1,"Private bus","Default"
"CNGB",2016,3,"Private bus","Default"
"EB",2016,0,"Private bus","Default"
"ICEB-D",2017,3784,"Private bus","Default"
"HEB-D",2017,1,"Private bus","Default"
"CNGB",2017,3,"Private bus","Default"
"EB",2017,0,"Private bus","Default"
"ICEB-D",2018,3540,"Private bus","Default"
"HEB-D",2018,4,"Private bus","Default"
"CNGB",2018,3,"Private bus","Default"
"EB",2018,1,"Private bus","Default"
"ICEB-D",2019,3476,"Private bus","Default"
"HEB-D",2019,9,"Private bus","Default"
"CNGB",2019,0,"Private bus","Default"
"EB",2019,2,"Private bus","Default"
"ICEB-D",2020,3493,"Private bus","Default"
"HEB-D",2020,18,"Private bus","Default"
"CNGB",2020,0,"Private bus","Default"
"EB",2020,4,"Private bus","Default"
"ICEB-D",2021,3511,"Private bus","Default"
"HEB-D",2021,26,"Private bus","Default"
"CNGB",2021,0,"Private bus","Default"
"EB",2021,6,"Private bus","Default"
"ICEB-D",2022,3530,"Private bus","Default"
"HEB-D",2022,33,"Private bus","Default"
"CNGB",2022,0,"Private bus","Default"
"EB",2022,7,"Private bus","Default"
"ICEB-D",2023,3551,"Private bus","Default"
"HEB-D",2023,40,"Private bus","Default"
"CNGB",2023,0,"Private bus","Default"
"EB",2023,8,"Private bus","Default"
"ICEB-D",2024,3569,"Private bus","Default"
"HEB-D",2024,47,"Private bus","Default"
"CNGB",2024,0,"Private bus","Default"
"EB",2024,9,"Private bus","Default"
"ICEB-D",2025,3587,"Private bus","Default"
"HEB-D",2025,55,"Private bus","Default"
"CNGB",2025,0,"Private bus","Default"
"EB",2025,11,"Private bus","Default"
"ICEB-D",2026,3602,"Private bus","Default"
"HEB-D",2026,62,"Private bus","Default"
"CNGB",2026,0,"Private bus","Default"
"EB",2026,12,"Private bus","Default"
"ICEB-D",2027,3618,"Private bus","Default"
"HEB-D",2027,68,"Private bus","Default"
"CNGB",2027,0,"Private bus","Default"
"EB",2027,13,"Private bus","Default"
"ICEB-D",2028,3634,"Private bus","Default"
"HEB-D",2028,74,"Private bus","Default"
"CNGB",2028,0,"Private bus","Default"
"EB",2028,14,"Private bus","Default"
"ICEB-D",2029,3651,"Private bus","Default"
"HEB-D",2029,77,"Private bus","Default"
"CNGB",2029,0,"Private bus","Default"
"EB",2029,15,"Private bus","Default"
"ICEB-D",2030,3666,"Private bus","Default"
"HEB-D",2030,80,"Private bus","Default"
"CNGB",2030,0,"Private bus","Default"
"EB",2030,16,"Private bus","Default"
"ICEB-D",2031,3681,"Private bus","Default"
"HEB-D",2031,83,"Private bus","Default"
"CNGB",2031,0,"Private bus","Default"
"EB",2031,17,"Private bus","Default"
"ICEB-D",2032,3693,"Private bus","Default"
"HEB-D",2032,86,"Private bus","Default"
"CNGB",2032,0,"Private bus","Default"
"EB",2032,18,"Private bus","Default"
"ICEB-D",2033,3705,"Private bus","Default"
"HEB-D",2033,88,"Private bus","Default"
"CNGB",2033,0,"Private bus","Default"
"EB",2033,19,"Private bus","Default"
"ICEB-D",2034,3716,"Private bus","Default"
"HEB-D",2034,89,"Private bus","Default"
"CNGB",2034,0,"Private bus","Default"
"EB",2034,20,"Private bus","Default"
"ICEB-D",2035,3727,"Private bus","Default"
"HEB-D",2035,89,"Private bus","Default"
"CNGB",2035,0,"Private bus","Default"
"EB",2035,21,"Private bus","Default"
"ICEB-D",2036,3737,"Private bus","Default"
"HEB-D",2036,88,"Private bus","Default"
"CNGB",2036,0,"Private bus","Default"
"EB",2036,22,"Private bus","Default"
"ICEB-D",2037,3748,"Private bus","Default"
"HEB-D",2037,86,"Private bus","Default"
"CNGB",2037,0,"Private bus","Default"
"EB",2037,21,"Private bus","Default"
"ICEB-D",2038,3758,"Private bus","Default"
"HEB-D",2038,85,"Private bus","Default"
"CNGB",2038,0,"Private bus","Default"
"EB",2038,20,"Private bus","Default"
"ICEB-D",2039,3763,"Private bus","Default"
"HEB-D",2039,85,"Private bus","Default"
"CNGB",2039,0,"Private bus","Default"
"EB",2039,20,"Private bus","Default"
"ICEB-D",2040,3766,"Private bus","Default"
"HEB-D",2040,86,"Private bus","Default"
"CNGB",2040,0,"Private bus","Default"
"EB",2040,20,"Private bus","Default"
"ICEB-D",2041,3768,"Private bus","Default"
"HEB-D",2041,86,"Private bus","Default"
"CNGB",2041,0,"Private bus","Default"
"EB",2041,20,"Private bus","Default"
"ICEB-D",2042,3770,"Private bus","Default"
"HEB-D",2042,87,"Private bus","Default"
"CNGB",2042,0,"Private bus","Default"
"EB",2042,19,"Private bus","Default"
"ICEB-D",2043,3768,"Private bus","Default"
"HEB-D",2043,89,"Private bus","Default"
"CNGB",2043,0,"Private bus","Default"
"EB",2043,19,"Private bus","Default"
"ICEB-D",2044,3765,"Private bus","Default"
"HEB-D",2044,91,"Private bus","Default"
"CNGB",2044,0,"Private bus","Default"
"EB",2044,19,"Private bus","Default"
"ICEB-D",2045,3763,"Private bus","Default"
"HEB-D",2045,91,"Private bus","Default"
"CNGB",2045,0,"Private bus","Default"
"EB",2045,19,"Private bus","Default"
"ICEB-D",2046,3760,"Private bus","Default"
"HEB-D",2046,91,"Private bus","Default"
"CNGB",2046,0,"Private bus","Default"
"EB",2046,19,"Private bus","Default"
"ICEB-D",2047,3756,"Private bus","Default"
"HEB-D",2047,91,"Private bus","Default"
"CNGB",2047,0,"Private bus","Default"
"EB",2047,19,"Private bus","Default"
"ICEB-D",2048,3752,"Private bus","Default"
"HEB-D",2048,91,"Private bus","Default"
"CNGB",2048,0,"Private bus","Default"
"EB",2048,19,"Private bus","Default"
"ICEB-D",2049,3746,"Private bus","Default"
"HEB-D",2049,91,"Private bus","Default"
"CNGB",2049,0,"Private bus","Default"
"EB",2049,19,"Private bus","Default"
"ICEB-D",2050,3740,"Private bus","Default"
"HEB-D",2050,91,"Private bus","Default"
"CNGB",2050,0,"Private bus","Default"
"EB",2050,19,"Private bus","Default"
"ICEB-D",2005,3975,"School bus","Default"
"HEB-D",2005,0,"School bus","Default"
"CNGB",2005,0,"School bus","Default"
"EB",2005,0,"School bus","Default"
"ICEB-D",2006,4276,"School bus","Default"
"HEB-D",2006,0,"School bus","Default"
"CNGB",2006,4,"School bus","Default"
"EB",2006,0,"School bus","Default"
"ICEB-D",2007,4443,"School bus","Default"
"HEB-D",2007,0,"School bus","Default"
"CNGB",2007,4,"School bus","Default"
"EB",2007,0,"School bus","Default"
"ICEB-D",2008,4831,"School bus","Default"
"HEB-D",2008,0,"School bus","Default"
"CNGB",2008,4,"School bus","Default"
"EB",2008,0,"School bus","Default"
"ICEB-D",2009,5223,"School bus","Default"
"HEB-D",2009,0,"School bus","Default"
"CNGB",2009,10,"School bus","Default"
"EB",2009,0,"School bus","Default"
"ICEB-D",2010,5590,"School bus","Default"
"HEB-D",2010,1,"School bus","Default"
"CNGB",2010,15,"School bus","Default"
"EB",2010,0,"School bus","Default"
"ICEB-D",2011,6123,"School bus","Default"
"HEB-D",2011,1,"School bus","Default"
"CNGB",2011,8,"School bus","Default"
"EB",2011,0,"School bus","Default"
"ICEB-D",2012,6515,"School bus","Default"
"HEB-D",2012,1,"School bus","Default"
"CNGB",2012,9,"School bus","Default"
"EB",2012,0,"School bus","Default"
"ICEB-D",2013,6979,"School bus","Default"
"HEB-D",2013,1,"School bus","Default"
"CNGB",2013,9,"School bus","Default"
"EB",2013,0,"School bus","Default"
"ICEB-D",2014,7391,"School bus","Default"
"HEB-D",2014,1,"School bus","Default"
"CNGB",2014,7,"School bus","Default"
"EB",2014,0,"School bus","Default"
"ICEB-D",2015,7986,"School bus","Default"
"HEB-D",2015,2,"School bus","Default"
"CNGB",2015,7,"School bus","Default"
"EB",2015,0,"School bus","Default"
"ICEB-D",2016,8603,"School bus","Default"
"HEB-D",2016,2,"School bus","Default"
"CNGB",2016,7,"School bus","Default"
"EB",2016,0,"School bus","Default"
"ICEB-D",2017,9352,"School bus","Default"
"HEB-D",2017,2,"School bus","Default"
"CNGB",2017,7,"School bus","Default"
"EB",2017,1,"School bus","Default"
"ICEB-D",2018,9604,"School bus","Default"
"HEB-D",2018,12,"School bus","Default"
"CNGB",2018,7,"School bus","Default"
"EB",2018,2,"School bus","Default"
"ICEB-D",2019,9945,"School bus","Default"
"HEB-D",2019,26,"School bus","Default"
"CNGB",2019,0,"School bus","Default"
"EB",2019,5,"School bus","Default"
"ICEB-D",2020,10011,"School bus","Default"
"HEB-D",2020,37,"School bus","Default"
"CNGB",2020,0,"School bus","Default"
"EB",2020,7,"School bus","Default"
"ICEB-D",2021,10078,"School bus","Default"
"HEB-D",2021,47,"School bus","Default"
"CNGB",2021,0,"School bus","Default"
"EB",2021,9,"School bus","Default"
"ICEB-D",2022,10146,"School bus","Default"
"HEB-D",2022,58,"School bus","Default"
"CNGB",2022,0,"School bus","Default"
"EB",2022,11,"School bus","Default"
"ICEB-D",2023,10211,"School bus","Default"
"HEB-D",2023,71,"School bus","Default"
"CNGB",2023,0,"School bus","Default"
"EB",2023,14,"School bus","Default"
"ICEB-D",2024,10272,"School bus","Default"
"HEB-D",2024,84,"School bus","Default"
"CNGB",2024,0,"School bus","Default"
"EB",2024,17,"School bus","Default"
"ICEB-D",2025,10328,"School bus","Default"
"HEB-D",2025,100,"School bus","Default"
"CNGB",2025,0,"School bus","Default"
"EB",2025,20,"School bus","Default"
"ICEB-D",2026,10378,"School bus","Default"
"HEB-D",2026,117,"School bus","Default"
"CNGB",2026,0,"School bus","Default"
"EB",2026,24,"School bus","Default"
"ICEB-D",2027,10422,"School bus","Default"
"HEB-D",2027,135,"School bus","Default"
"CNGB",2027,0,"School bus","Default"
"EB",2027,28,"School bus","Default"
"ICEB-D",2028,10464,"School bus","Default"
"HEB-D",2028,152,"School bus","Default"
"CNGB",2028,0,"School bus","Default"
"EB",2028,32,"School bus","Default"
"ICEB-D",2029,10503,"School bus","Default"
"HEB-D",2029,168,"School bus","Default"
"CNGB",2029,0,"School bus","Default"
"EB",2029,36,"School bus","Default"
"ICEB-D",2030,10538,"School bus","Default"
"HEB-D",2030,186,"School bus","Default"
"CNGB",2030,0,"School bus","Default"
"EB",2030,40,"School bus","Default"
"ICEB-D",2031,10569,"School bus","Default"
"HEB-D",2031,202,"School bus","Default"
"CNGB",2031,0,"School bus","Default"
"EB",2031,44,"School bus","Default"
"ICEB-D",2032,10597,"School bus","Default"
"HEB-D",2032,217,"School bus","Default"
"CNGB",2032,0,"School bus","Default"
"EB",2032,48,"School bus","Default"
"ICEB-D",2033,10621,"School bus","Default"
"HEB-D",2033,232,"School bus","Default"
"CNGB",2033,0,"School bus","Default"
"EB",2033,52,"School bus","Default"
"ICEB-D",2034,10643,"School bus","Default"
"HEB-D",2034,244,"School bus","Default"
"CNGB",2034,0,"School bus","Default"
"EB",2034,56,"School bus","Default"
"ICEB-D",2035,10666,"School bus","Default"
"HEB-D",2035,251,"School bus","Default"
"CNGB",2035,0,"School bus","Default"
"EB",2035,60,"School bus","Default"
"ICEB-D",2036,10689,"School bus","Default"
"HEB-D",2036,255,"School bus","Default"
"CNGB",2036,0,"School bus","Default"
"EB",2036,62,"School bus","Default"
"ICEB-D",2037,10711,"School bus","Default"
"HEB-D",2037,258,"School bus","Default"
"CNGB",2037,0,"School bus","Default"
"EB",2037,62,"School bus","Default"
"ICEB-D",2038,10730,"School bus","Default"
"HEB-D",2038,257,"School bus","Default"
"CNGB",2038,0,"School bus","Default"
"EB",2038,63,"School bus","Default"
"ICEB-D",2039,10744,"School bus","Default"
"HEB-D",2039,258,"School bus","Default"
"CNGB",2039,0,"School bus","Default"
"EB",2039,64,"School bus","Default"
"ICEB-D",2040,10754,"School bus","Default"
"HEB-D",2040,259,"School bus","Default"
"CNGB",2040,0,"School bus","Default"
"EB",2040,65,"School bus","Default"
"ICEB-D",2041,10760,"School bus","Default"
"HEB-D",2041,260,"School bus","Default"
"CNGB",2041,0,"School bus","Default"
"EB",2041,65,"School bus","Default"
"ICEB-D",2042,10764,"School bus","Default"
"HEB-D",2042,261,"School bus","Default"
"CNGB",2042,0,"School bus","Default"
"EB",2042,64,"School bus","Default"
"ICEB-D",2043,10766,"School bus","Default"
"HEB-D",2043,261,"School bus","Default"
"CNGB",2043,0,"School bus","Default"
"EB",2043,64,"School bus","Default"
"ICEB-D",2044,10764,"School bus","Default"
"HEB-D",2044,259,"School bus","Default"
"CNGB",2044,0,"School bus","Default"
"EB",2044,64,"School bus","Default"
"ICEB-D",2045,10759,"School bus","Default"
"HEB-D",2045,258,"School bus","Default"
"CNGB",2045,0,"School bus","Default"
"EB",2045,64,"School bus","Default"
"ICEB-D",2046,10751,"School bus","Default"
"HEB-D",2046,258,"School bus","Default"
"CNGB",2046,0,"School bus","Default"
"EB",2046,64,"School bus","Default"
"ICEB-D",2047,10739,"School bus","Default"
"HEB-D",2047,257,"School bus","Default"
"CNGB",2047,0,"School bus","Default"
"EB",2047,64,"School bus","Default"
"ICEB-D",2048,10726,"School bus","Default"
"HEB-D",2048,257,"School bus","Default"
"CNGB",2048,0,"School bus","Default"
"EB",2048,64,"School bus","Default"
"ICEB-D",2049,10709,"School bus","Default"
"HEB-D",2049,258,"School bus","Default"
"CNGB",2049,0,"School bus","Default"
"EB",2049,64,"School bus","Default"
"ICEB-D",2050,10691,"School bus","Default"
"HEB-D",2050,258,"School bus","Default"
"CNGB",2050,0,"School bus","Default"
"EB",2050,64,"School bus","Default"
"ICEB-D",2005,3874,"Public bus","Default"
"HEB-D",2005,0,"Public bus","Default"
"CNGB",2005,0,"Public bus","Default"
"EB",2005,0,"Public bus","Default"
"ICEB-D",2006,4070,"Public bus","Default"
"HEB-D",2006,0,"Public bus","Default"
"CNGB",2006,4,"Public bus","Default"
"EB",2006,0,"Public bus","Default"
"ICEB-D",2007,4096,"Public bus","Default"
"HEB-D",2007,0,"Public bus","Default"
"CNGB",2007,3,"Public bus","Default"
"EB",2007,0,"Public bus","Default"
"ICEB-D",2008,4202,"Public bus","Default"
"HEB-D",2008,0,"Public bus","Default"
"CNGB",2008,3,"Public bus","Default"
"EB",2008,0,"Public bus","Default"
"ICEB-D",2009,4401,"Public bus","Default"
"HEB-D",2009,0,"Public bus","Default"
"CNGB",2009,8,"Public bus","Default"
"EB",2009,0,"Public bus","Default"
"ICEB-D",2010,4341,"Public bus","Default"
"HEB-D",2010,1,"Public bus","Default"
"CNGB",2010,12,"Public bus","Default"
"EB",2010,0,"Public bus","Default"
"ICEB-D",2011,4499,"Public bus","Default"
"HEB-D",2011,1,"Public bus","Default"
"CNGB",2011,6,"Public bus","Default"
"EB",2011,0,"Public bus","Default"
"ICEB-D",2012,4599,"Public bus","Default"
"HEB-D",2012,1,"Public bus","Default"
"CNGB",2012,6,"Public bus","Default"
"EB",2012,0,"Public bus","Default"
"ICEB-D",2013,4989,"Public bus","Default"
"HEB-D",2013,1,"Public bus","Default"
"CNGB",2013,6,"Public bus","Default"
"EB",2013,0,"Public bus","Default"
"ICEB-D",2014,5195,"Public bus","Default"
"HEB-D",2014,1,"Public bus","Default"
"CNGB",2014,6,"Public bus","Default"
"EB",2014,0,"Public bus","Default"
"ICEB-D",2015,5557,"Public bus","Default"
"HEB-D",2015,1,"Public bus","Default"
"CNGB",2015,4,"Public bus","Default"
"EB",2015,0,"Public bus","Default"
"ICEB-D",2016,5930,"Public bus","Default"
"HEB-D",2016,1,"Public bus","Default"
"CNGB",2016,5,"Public bus","Default"
"EB",2016,0,"Public bus","Default"
"ICEB-D",2017,6130,"Public bus","Default"
"HEB-D",2017,1,"Public bus","Default"
"CNGB",2017,5,"Public bus","Default"
"EB",2017,1,"Public bus","Default"
"ICEB-D",2018,6195,"Public bus","Default"
"HEB-D",2018,8,"Public bus","Default"
"CNGB",2018,5,"Public bus","Default"
"EB",2018,1,"Public bus","Default"
"ICEB-D",2019,6179,"Public bus","Default"
"HEB-D",2019,16,"Public bus","Default"
"CNGB",2019,0,"Public bus","Default"
"EB",2019,3,"Public bus","Default"
"ICEB-D",2020,5891,"Public bus","Default"
"HEB-D",2020,16,"Public bus","Default"
"CNGB",2020,0,"Public bus","Default"
"EB",2020,3,"Public bus","Default"
"ICEB-D",2021,5922,"Public bus","Default"
"HEB-D",2021,28,"Public bus","Default"
"CNGB",2021,0,"Public bus","Default"
"EB",2021,6,"Public bus","Default"
"ICEB-D",2022,5954,"Public bus","Default"
"HEB-D",2022,41,"Public bus","Default"
"CNGB",2022,0,"Public bus","Default"
"EB",2022,9,"Public bus","Default"
"ICEB-D",2023,5982,"Public bus","Default"
"HEB-D",2023,56,"Public bus","Default"
"CNGB",2023,0,"Public bus","Default"
"EB",2023,13,"Public bus","Default"
"ICEB-D",2024,6009,"Public bus","Default"
"HEB-D",2024,71,"Public bus","Default"
"CNGB",2024,0,"Public bus","Default"
"EB",2024,17,"Public bus","Default"
"ICEB-D",2025,6031,"Public bus","Default"
"HEB-D",2025,88,"Public bus","Default"
"CNGB",2025,0,"Public bus","Default"
"EB",2025,21,"Public bus","Default"
"ICEB-D",2026,6050,"Public bus","Default"
"HEB-D",2026,106,"Public bus","Default"
"CNGB",2026,0,"Public bus","Default"
"EB",2026,26,"Public bus","Default"
"ICEB-D",2027,6066,"Public bus","Default"
"HEB-D",2027,124,"Public bus","Default"
"CNGB",2027,0,"Public bus","Default"
"EB",2027,30,"Public bus","Default"
"ICEB-D",2028,6081,"Public bus","Default"
"HEB-D",2028,142,"Public bus","Default"
