"Mode","Year","Value","Unit","Scenario"
"Taxi",2047,1623869.38325026,"thousand passenger","PT_Constant"
"Motorcycle",2047,1363792.12014536,"thousand passenger","PT_Constant"
"Public bus",2047,7592084.85863967,"thousand passenger","PT_Constant"
"School bus",2047,3005528.6152651,"thousand passenger","PT_Constant"
"Private bus",2047,1684474.26326759,"thousand passenger","PT_Constant"
"MRT",2047,26740225.9622483,"thousand passenger","PT_Constant"
"LRT",2047,334371.648345084,"thousand passenger","PT_Constant"
"Private car",2048,12649041.9118611,"thousand passenger","PT_Constant"
"Private hire car",2048,1611916.40295609,"thousand passenger","PT_Constant"
"Taxi",2048,1621834.03200877,"thousand passenger","PT_Constant"
"Motorcycle",2048,1362082.74868144,"thousand passenger","PT_Constant"
"Public bus",2048,7582568.97053816,"thousand passenger","PT_Constant"
"School bus",2048,3001761.49799478,"thousand passenger","PT_Constant"
"Private bus",2048,1682362.95011743,"thousand passenger","PT_Constant"
"MRT",2048,26706709.8724253,"thousand passenger","PT_Constant"
"LRT",2048,333952.54828901,"thousand passenger","PT_Constant"
"Private car",2049,12630699.8445265,"thousand passenger","PT_Constant"
"Private hire car",2049,1609579.00227335,"thousand passenger","PT_Constant"
"Taxi",2049,1619482.2500139,"thousand passenger","PT_Constant"
"Motorcycle",2049,1360107.62569064,"thousand passenger","PT_Constant"
"Public bus",2049,7571573.67211191,"thousand passenger","PT_Constant"
"School bus",2049,2997408.71681954,"thousand passenger","PT_Constant"
"Private bus",2049,1679923.3966139,"thousand passenger","PT_Constant"
"MRT",2049,26667983.1234604,"thousand passenger","PT_Constant"
"LRT",2049,333468.291839394,"thousand passenger","PT_Constant"
"Private car",2050,12610226.3974791,"thousand passenger","PT_Constant"
"Private hire car",2050,1606969.99161857,"thousand passenger","PT_Constant"
"Taxi",2050,1616857.18691383,"thousand passenger","PT_Constant"
"Motorcycle",2050,1357902.99001755,"thousand passenger","PT_Constant"
"Public bus",2050,7559300.70113248,"thousand passenger","PT_Constant"
"School bus",2050,2992550.13499916,"thousand passenger","PT_Constant"
"Private bus",2050,1677200.36280519,"thousand passenger","PT_Constant"
"MRT",2050,26624756.2597822,"thousand passenger","PT_Constant"
"LRT",2050,332927.763958991,"thousand passenger","PT_Constant"
