"Mode","Year","Value","Unit","Scenario"
"Private hire car",2043,2022789.87386582,"thousand km","PT_Constant"
"Taxi",2043,930393.363121804,"thousand km","PT_Constant"
"Motorcycle",2043,1367419.3953718,"thousand km","PT_Constant"
"Public bus",2043,412903.458508769,"thousand km","PT_Constant"
"School bus",2043,334835.823758537,"thousand km","PT_Constant"
"Private bus",2043,112596.963744065,"thousand km","PT_Constant"
"MRT",2043,71794.1196694877,"thousand km","PT_Constant"
"LRT",2043,16647.2525421957,"thousand km","PT_Constant"
"Private car",2044,7254370.85052492,"thousand km","PT_Constant"
"Private hire car",2044,2022240.00787903,"thousand km","PT_Constant"
"Taxi",2044,930140.449227321,"thousand km","PT_Constant"
"Motorcycle",2044,1367047.68231109,"thousand km","PT_Constant"
"Public bus",2044,412791.21671312,"thousand km","PT_Constant"
"School bus",2044,334744.80351317,"thousand km","PT_Constant"
"Private bus",2044,112566.355898248,"thousand km","PT_Constant"
"MRT",2044,71774.6034829732,"thousand km","PT_Constant"
"LRT",2044,16642.7272288823,"thousand km","PT_Constant"
"Private car",2045,7250430.2862122,"thousand km","PT_Constant"
"Private hire car",2045,2021141.52987576,"thousand km","PT_Constant"
"Taxi",2045,929635.198208926,"thousand km","PT_Constant"
"Motorcycle",2045,1366305.10388193,"thousand km","PT_Constant"
"Public bus",2045,412566.989089429,"thousand km","PT_Constant"
"School bus",2045,334562.970594262,"thousand km","PT_Constant"
"Private bus",2045,112505.210007859,"thousand km","PT_Constant"
"MRT",2045,71735.6156166409,"thousand km","PT_Constant"
"LRT",2045,16633.6869222401,"thousand km","PT_Constant"
"Private car",2046,7244638.64631193,"thousand km","PT_Constant"
"Private hire car",2046,2019527.04308444,"thousand km","PT_Constant"
"Taxi",2046,928892.60610141,"thousand km","PT_Constant"
"Motorcycle",2046,1365213.70008337,"thousand km","PT_Constant"
"Public bus",2046,412237.430795477,"thousand km","PT_Constant"
"School bus",2046,334295.721869269,"thousand km","PT_Constant"
"Private bus",2046,112415.340905262,"thousand km","PT_Constant"
"MRT",2046,71678.3132446058,"thousand km","PT_Constant"
"LRT",2046,16620.3999418728,"thousand km","PT_Constant"
"Private car",2047,7237094.89476805,"thousand km","PT_Constant"
"Private hire car",2047,2017424.13485216,"thousand km","PT_Constant"
"Taxi",2047,927925.361857289,"thousand km","PT_Constant"
"Motorcycle",2047,1363792.12014536,"thousand km","PT_Constant"
"Public bus",2047,411808.173118617,"thousand km","PT_Constant"
"School bus",2047,333947.623918345,"thousand km","PT_Constant"
"Private bus",2047,112298.284217839,"thousand km","PT_Constant"
"MRT",2047,71603.6755141957,"thousand km","PT_Constant"
"LRT",2047,16603.0933274449,"thousand km","PT_Constant"
"Private car",2048,7228023.94963494,"thousand km","PT_Constant"
"Private hire car",2048,2014895.50369511,"thousand km","PT_Constant"
"Taxi",2048,926762.304005012,"thousand km","PT_Constant"
"Motorcycle",2048,1362082.74868144,"thousand km","PT_Constant"
"Public bus",2048,411292.014439196,"thousand km","PT_Constant"
"School bus",2048,333529.055332753,"thousand km","PT_Constant"
"Private bus",2048,112157.530007829,"thousand km","PT_Constant"
"MRT",2048,71513.9277602471,"thousand km","PT_Constant"
"LRT",2048,16582.2830781939,"thousand km","PT_Constant"
"Private car",2049,7217542.76830087,"thousand km","PT_Constant"
"Private hire car",2049,2011973.75284168,"thousand km","PT_Constant"
"Taxi",2049,925418.428579371,"thousand km","PT_Constant"
"Motorcycle",2049,1360107.62569064,"thousand km","PT_Constant"
"Public bus",2049,410695.609914995,"thousand km","PT_Constant"
"School bus",2049,333045.412979949,"thousand km","PT_Constant"
"Private bus",2049,111994.893107594,"thousand km","PT_Constant"
"MRT",2049,71410.2271568747,"thousand km","PT_Constant"
"LRT",2049,16558.2375137234,"thousand km","PT_Constant"
"Private car",2050,7205843.65570233,"thousand km","PT_Constant"
"Private hire car",2050,2008712.48952321,"thousand km","PT_Constant"
"Taxi",2050,923918.392522189,"thousand km","PT_Constant"
"Motorcycle",2050,1357902.99001755,"thousand km","PT_Constant"
"Public bus",2050,410029.902161212,"thousand km","PT_Constant"
"School bus",2050,332505.570555462,"thousand km","PT_Constant"
"Private bus",2050,111813.357520346,"thousand km","PT_Constant"
"MRT",2050,71294.4763653637,"thousand km","PT_Constant"
"LRT",2050,16531.3978133814,"thousand km","PT_Constant"
